,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,223.05661010742188,258.9542541503906,511.80413818359375,348.2391662597656,276.410888671875,316.09783935546875,461.9731750488281,322.9093322753906,243.22891235351562,385.63653564453125,245.36175537109375,363.3009948730469,349.18182373046875,541.9473876953125,521.7992553710938
S001,223.05661010742188,0.0,259.2448425292969,505.94439697265625,358.7777404785156,266.13800048828125,343.9356384277344,389.17535400390625,316.78717041015625,243.22891235351562,381.0796813964844,226.38790893554688,385.599609375,328.3608093261719,550.0504150390625,547.315185546875
S002,258.9542541503906,259.2448425292969,0.0,571.1314086914062,283.658203125,356.79864501953125,344.2987060546875,424.7281799316406,331.8424987792969,278.2866516113281,441.85394287109375,311.78533935546875,358.1782531738281,327.2103271484375,457.5832214355469,593.7526245117188
S003,511.80413818359375,505.94439697265625,571.1314086914062,0.0,674.2682495117188,533.8880615234375,612.3626708984375,360.6993408203125,746.0787353515625,544.588134765625,466.96417236328125,485.42230224609375,544.5889282226562,505.94439697265625,542.7295532226562,437.89886474609375
S004,348.2391662597656,358.7777404785156,283.658203125,674.2682495117188,0.0,315.80657958984375,375.2806396484375,543.2369995117188,336.83349609375,275.2157897949219,432.957275390625,311.138916015625,312.0069580078125,322.2989807128906,505.3861083984375,641.2510375976562
S005,276.410888671875,266.13800048828125,356.79864501953125,533.8880615234375,315.80657958984375,0.0,366.7322998046875,467.1478271484375,316.78717041015625,313.5632019042969,416.15325927734375,297.5489196777344,313.5632019042969,324.4444580078125,552.8875122070312,568.6133422851562
S006,316.09783935546875,343.9356384277344,344.2987060546875,612.3626708984375,375.2806396484375,366.7322998046875,0.0,540.361328125,517.8421020507812,341.0712890625,383.2227783203125,350.46759033203125,385.3490295410156,344.1709289550781,556.662109375,601.2601318359375
S007,461.9731750488281,389.17535400390625,424.7281799316406,360.6993408203125,543.2369995117188,467.1478271484375,540.361328125,0.0,606.739501953125,418.3708190917969,386.94964599609375,389.17535400390625,407.66363525390625,382.5381164550781,530.8557739257812,452.918212890625
S008,322.9093322753906,316.78717041015625,331.8424987792969,746.0787353515625,336.83349609375,316.78717041015625,517.8421020507812,606.739501953125,0.0,338.620361328125,419.0903015136719,362.91650390625,309.1531982421875,336.37310791015625,542.4922485351562,660.450927734375
S009,243.22891235351562,243.22891235351562,278.2866516113281,544.588134765625,275.2157897949219,313.5632019042969,341.0712890625,418.3708190917969,338.620361328125,0.0,432.957275390625,265.66766357421875,310.91961669921875,322.2989807128906,502.7727966308594,532.3267822265625
S010,385.63653564453125,381.0796813964844,441.85394287109375,466.96417236328125,432.957275390625,416.15325927734375,383.2227783203125,386.94964599609375,419.0903015136719,432.957275390625,0.0,387.0433349609375,423.1903076171875,454.07037353515625,487.5635681152344,568.3262329101562
S011,245.36175537109375,226.38790893554688,311.78533935546875,485.42230224609375,311.138916015625,297.5489196777344,350.46759033203125,389.17535400390625,362.91650390625,265.66766357421875,387.0433349609375,0.0,370.4505615234375,328.3608093261719,568.5668334960938,538.7306518554688
S012,363.3009948730469,385.599609375,358.1782531738281,544.5889282226562,312.0069580078125,313.5632019042969,385.3490295410156,407.66363525390625,309.1531982421875,310.91961669921875,423.1903076171875,370.4505615234375,0.0,386.5263671875,481.1858215332031,534.7462158203125
S013,349.18182373046875,328.3608093261719,327.2103271484375,505.94439697265625,322.2989807128906,324.4444580078125,344.1709289550781,382.5381164550781,336.37310791015625,322.2989807128906,454.07037353515625,328.3608093261719,386.5263671875,0.0,483.26031494140625,529.7706298828125
S014,541.9473876953125,550.0504150390625,457.5832214355469,542.7295532226562,505.3861083984375,552.8875122070312,556.662109375,530.8557739257812,542.4922485351562,502.7727966308594,487.5635681152344,568.5668334960938,481.1858215332031,483.26031494140625,0.0,578.795166015625
S015,521.7992553710938,547.315185546875,593.7526245117188,437.89886474609375,641.2510375976562,568.6133422851562,601.2601318359375,452.918212890625,660.450927734375,532.3267822265625,568.3262329101562,538.7306518554688,534.7462158203125,529.7706298828125,578.795166015625,0.0
