task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P000020-1,C002,B001,P000020,0.0,969.3587719896758,969.3587719896758,3600.0
P000020-1,C001,B002,P000020,0.0,969.3587719896758,969.3587719896758,3600.0
P000020-1,C005,B003,P000020,0.0,969.3587719896758,969.3587719896758,3600.0
P000890-1,C006,B004,P000890,2179.0,879.3587719896758,3058.358771989676,inf
P002699-1,C006,B005,P002699,0.0,798.3019870741625,798.3019870741625,inf
P002700-1,C006,B006,P002700,1177.0,858.3019870741625,2035.3019870741625,inf
P002700-1,C006,B007,P002700,1177.0,858.3019870741625,2035.3019870741625,inf
P008332-1,C006,B008,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C006,B009,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C006,B010,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C003,B011,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C003,B012,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C003,B013,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C004,B014,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008332-1,C004,B015,P008332,0.0,1314.898088758733,1314.898088758733,inf
P008441-1,C007,B016,P008441,0.0,1554.9133786226248,1554.9133786226248,3600.0
P008441-1,C010,B017,P008441,0.0,1554.9133786226248,1554.9133786226248,3600.0
P001153-1,C011,B018,P001153,1253.0,1497.874347160894,2750.874347160894,inf
P008441-1,C011,B019,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C011,B020,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C008,B021,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C008,B022,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C009,B023,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P025360-1,C012,B024,P025360,1628.0,2034.86799865566,3662.86799865566,7200.0
P002756-1,C015,B025,P002756,0.0,1288.0940707315583,1288.0940707315583,7200.0
P002754-1,C016,B026,P002754,4252.0,1288.0940707315583,5540.0940707315585,inf
P002754-1,C016,B027,P002754,4252.0,1288.0940707315583,5540.0940707315585,inf
P002756-1,C016,B028,P002756,0.0,1288.0940707315583,1288.0940707315583,inf
P025360-1,C013,B029,P025360,1628.0,2034.86799865566,3662.86799865566,inf
P025360-1,C013,B030,P025360,1628.0,2034.86799865566,3662.86799865566,inf
P025360-1,C014,B031,P025360,1628.0,2034.86799865566,3662.86799865566,inf
P008547-1,C017,B032,P008547,4454.0,1585.5620324839206,6039.56203248392,7200.0
P008547-1,C020,B033,P008547,4454.0,1585.5620324839206,6039.56203248392,7200.0
P008547-1,C021,B034,P008547,4454.0,1585.5620324839206,6039.56203248392,inf
P008547-1,C021,B035,P008547,4454.0,1585.5620324839206,6039.56203248392,inf
P008547-1,C018,B036,P008547,4454.0,1585.5620324839206,6039.56203248392,inf
P008547-1,C019,B037,P008547,4454.0,1585.5620324839206,6039.56203248392,inf
P008594-1,C022,B038,P008594,4875.0,1374.6573203179064,6249.657320317907,10800.0
P008594-1,C025,B039,P008594,4875.0,1374.6573203179064,6249.657320317907,10800.0
P008594-1,C026,B040,P008594,4875.0,1374.6573203179064,6249.657320317907,inf
P008594-1,C026,B041,P008594,4875.0,1374.6573203179064,6249.657320317907,inf
P008594-1,C023,B042,P008594,4875.0,1374.6573203179064,6249.657320317907,inf
P008594-1,C024,B043,P008594,4875.0,1374.6573203179064,6249.657320317907,inf
P000078-1,C027,B044,P000078,2626.0,935.070825063312,3561.070825063312,3600.0
P000074-1,C030,B045,P000074,1313.0,935.070825063312,2248.070825063312,3600.0
P000069-1,C031,B046,P000069,0.0,875.0708250633121,875.0708250633121,inf
P000069-2,C031,B047,P000069,0.0,875.0708250633121,875.0708250633121,inf
P000074-1,C028,B048,P000074,1313.0,935.070825063312,2248.070825063312,inf
P000078-1,C029,B049,P000078,2626.0,935.070825063312,3561.070825063312,inf
P025360-1,C032,B050,P025360,1628.0,1467.7006332510348,3095.7006332510346,3600.0
P025360-1,C035,B051,P025360,1628.0,1467.7006332510348,3095.7006332510346,3600.0
P025360-1,C036,B052,P025360,1628.0,1467.7006332510348,3095.7006332510346,inf
P025360-1,C033,B053,P025360,1628.0,1467.7006332510348,3095.7006332510346,inf
P025360-1,C034,B054,P025360,1628.0,1467.7006332510348,3095.7006332510346,inf
P051203-1,C037,B055,P051203,2178.0,1992.3883159599443,4170.3883159599445,7200.0
P051203-1,C040,B056,P051203,2178.0,1992.3883159599443,4170.3883159599445,7200.0
P051203-1,C041,B057,P051203,2178.0,1992.3883159599443,4170.3883159599445,inf
P051203-1,C038,B058,P051203,2178.0,1992.3883159599443,4170.3883159599445,inf
P051203-1,C039,B059,P051203,2178.0,1992.3883159599443,4170.3883159599445,inf
P001153-1,C042,B060,P001153,1253.0,1097.3572431194746,2350.3572431194743,10800.0
P000104-1,C044,B061,P000104,3473.0,1127.3572431194746,4600.357243119474,10800.0
P000104-1,C043,B062,P000104,3473.0,1127.3572431194746,4600.357243119474,inf
P002523-1,C045,B063,P002523,0.0,1520.6026200486217,1520.6026200486217,3600.0
P000110-1,C047,B064,P000110,2125.0,1104.4629012533037,3229.4629012533037,3600.0
P000110-1,C046,B065,P000110,2125.0,1104.4629012533037,3229.4629012533037,inf
P051203-1,C048,B066,P051203,2178.0,1124.5054354300685,3302.5054354300682,10800.0
P051203-1,C050,B067,P051203,2178.0,1124.5054354300685,3302.5054354300682,10800.0
P051203-1,C049,B068,P051203,2178.0,1124.5054354300685,3302.5054354300682,inf
P002888-1,C051,B069,P002888,2328.0,1271.8300190487548,3599.830019048755,3600.0
P002888-1,C053,B070,P002888,2328.0,1271.8300190487548,3599.830019048755,3600.0
P002888-1,C052,B071,P002888,2328.0,1271.8300190487548,3599.830019048755,inf
P002523-1,C054,B072,P002523,0.0,1113.545029285659,1113.545029285659,3600.0
P002523-1,C056,B073,P002523,0.0,1113.545029285659,1113.545029285659,3600.0
P000890-1,C055,B074,P000890,2179.0,1375.9975045841777,3554.9975045841775,inf
P002902-1,C057,B075,P002902,2021.0,1241.8553923434088,3262.8553923434088,3600.0
P002902-1,C059,B076,P002902,2021.0,1241.8553923434088,3262.8553923434088,3600.0
P002902-1,C058,B077,P002902,2021.0,1241.8553923434088,3262.8553923434088,inf
P002909-1,C060,B078,P002909,3890.0,1218.226496245155,5108.226496245155,7200.0
P002909-1,C062,B079,P002909,3890.0,1218.226496245155,5108.226496245155,10800.0
P002909-1,C061,B080,P002909,3890.0,1218.226496245155,5108.226496245155,inf
