task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000071-1,U01,A,BAT_A01,0.0,1252.6149834599576,1252.6149834599576,1.2411219044028343,1252.6149834599576,2111.161311398554,858.5463279385965,1,1,S006,1253,2112
P001153-1,U01,A,BAT_A05,1654.0,3873.799820896939,2219.799820896939,2.948053836316883,3873.799820896939,5225.459818055149,1351.6599971582104,2,2,S009>S002,3874,5226
P000110-1,U02,A,BAT_A02,0.0,1653.852469173274,1653.852469173274,2.0198116904222125,1653.852469173274,2737.3536241841352,1083.5011550108613,1,2,S010,1654,2738
P000104-1,U02,A,BAT_A01,3263.0,4954.534486238949,1691.5344862389493,2.3382502154288844,4954.534486238949,6130.028992918405,1175.4945066794553,1,2,S009,4955,6131
P000890-1,U03,A,BAT_A03,0.0,1904.4758672031696,1904.4758672031696,2.19432547296678,1904.4758672031696,3038.392114949128,1133.9162477459586,2,2,S001>S013,1905,3039
P002523-1,U04,A,BAT_A04,0.0,2069.992187968592,2069.992187968592,2.2865693659807698,2069.992187968592,3230.556671474148,1160.5644835055557,2,3,S013>S010,2070,3231
P002700-1,U05,B,BAT_B01,0.0,1150.3573074816584,1150.3573074816584,1.2239597072836312,1150.3573074816584,2347.406513971232,1197.0492064895736,1,2,S001,1151,2348
P002700-2,U05,B,BAT_B03,1151.0,2301.3573074816586,1150.3573074816584,1.2239597072836312,2301.3573074816586,3498.406513971232,1197.0492064895736,1,2,S001,2302,3499
P002902-1,U05,B,BAT_B01,2348.0,4216.597451353484,1868.5974513534843,2.137304308171069,4216.597451353484,5809.429318227614,1592.83186687413,1,3,S014,4217,5810
P002754-1,U05,B,BAT_B02,4217.0,6237.24147479645,2020.2414747964503,2.935633182931117,6237.24147479645,8176.015854066602,1938.7743792701508,1,2,S003,6238,8177
P002881-1,U05,B,BAT_B01,6238.0,7427.630285736439,1189.630285736439,1.077171254529726,7427.630285736439,8561.07116269932,1133.4408769628812,1,3,S011,7428,8562
P002888-1,U06,B,BAT_B02,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012,1924,3785
P003521-1,U06,B,BAT_B04,1924.0,3771.5544443474505,1847.5544443474505,2.062471539742773,3771.5544443474505,5331.958778235985,1560.404333888535,2,3,S001>S006,3772,5332
P002756-1,U06,B,BAT_B03,3772.0,5792.24147479645,2020.2414747964503,2.935633182931117,5792.24147479645,7731.015854066602,1938.7743792701508,1,2,S003,5793,7732
P002909-1,U06,B,BAT_B04,5793.0,7622.57299249031,1829.5729924903096,2.3109026130195294,7622.57299249031,9290.630791465439,1668.0577989751296,1,3,S015,7623,9291
P008382-1,U07,C,BAT_C01,0.0,1693.4261775174657,1693.4261775174657,2.728480567856419,1693.4261775174657,3265.722997978579,1572.2968204611134,1,9,S001,1694,3266
P025360-1,U07,C,BAT_C03,1694.0,4519.312759084483,2825.312759084484,5.941568400889239,4519.312759084483,6961.820867658653,2442.508108574169,2,9,S007>S003,4520,6962
P008547-1,U07,C,BAT_C02,4717.0,7022.184064967842,2305.184064967841,6.1769107423796425,7022.184064967842,9528.430724362328,2506.2466593944864,1,6,S004,7023,9529
P008441-1,U08,C,BAT_C02,0.0,2177.00675724525,2177.00675724525,6.300747965355022,2177.00675724525,4716.792664528902,2539.785907283652,1,7,S002,2178,4717
P008599-1,U08,C,BAT_C04,2178.0,3540.8632994307263,1362.8632994307266,2.3242173466480023,3540.8632994307263,5003.672164147893,1462.8088647171671,1,3,S006,3541,5004
P008594-1,U08,C,BAT_C01,3541.0,5421.044640635813,1880.0446406358128,4.2387743677705485,5421.044640635813,7402.3793652403365,1981.3347246045237,1,6,S005,5422,7403
P008703-1,U08,C,BAT_C04,5422.0,7625.7583959173335,2203.758395917333,5.857489201651335,7625.7583959173335,10045.495054697903,2419.73665878057,1,5,S008,7626,10046
