uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,1,S006,1,6.0,0.035,1.2411219044028343,1252.6149834599576,0.7241951323549256,False,inf,P000071-1,C029:1,0.0,0.0,U01,BAT_A01,0.0
A,1,S009,2,22.0,0.055,2.3382502154288844,1691.5344862389493,0.4803888410158035,True,9672.642756880525,P000104-1,C043:1|C044:1,0.0,3263.0,U02,BAT_A01,3263.0
A,1,S010,2,22.0,0.055,2.0198116904222125,1653.852469173274,0.5511529576839528,True,2495.5370987466963,P000110-1,C046:1|C047:1,0.0,0.0,U02,BAT_A02,0.0
A,2,S001>S013,2,22.0,0.055,2.19432547296678,1904.4758672031696,0.5123721171184934,False,inf,P000890-1,C006:1|C055:1,0.0,0.0,U03,BAT_A03,0.0
A,2,S009>S002,2,17.0,0.039,2.948053836316883,2219.799820896939,0.3448769252629149,True,9702.642756880525,P001153-1,C011:1|C042:1,0.0,1654.0,U01,BAT_A05,1654.0
A,2,S013>S010,3,20.0,0.051,2.2865693659807698,2069.992187968592,0.4918734742264956,True,2079.3973799513783,P002523-1,C045:1|C054:1|C056:1,0.0,0.0,U04,BAT_A04,0.0
B,1,S001,2,28.0,0.054,1.2239597072836312,1150.3573074816584,0.6940100731790921,False,inf,P002700-1,C006:2,0.0,0.0,U05,BAT_B01,0.0
B,1,S001,2,28.0,0.054,1.2239597072836312,1150.3573074816584,0.6940100731790921,False,inf,P002700-2,C006:2,0.0,1151.0,U05,BAT_B03,1151.0
B,1,S003,2,28.0,0.054,2.935633182931117,2020.2414747964503,0.2660917042672206,False,inf,P002754-1,C016:2,0.0,4217.0,U05,BAT_B02,4217.0
B,1,S003,2,28.0,0.054,2.935633182931117,2020.2414747964503,0.2660917042672206,True,5911.9059292684415,P002756-1,C015:1|C016:1,0.0,3772.0,U06,BAT_B03,3772.0
B,1,S011,3,25.0,0.067,1.077171254529726,1189.630285736439,0.7307071863675685,True,9892.998190465114,P002881-1,C048:1|C049:1|C050:1,0.0,6238.0,U05,BAT_B01,6238.0
B,1,S012,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.3111914298862741,True,2328.169980951245,P002888-1,C051:1|C052:1|C053:1,0.0,0.0,U06,BAT_B02,0.0
B,1,S014,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.4656739229572327,True,2358.1446076565912,P002902-1,C057:1|C058:1|C059:1,0.0,2348.0,U05,BAT_B01,2348.0
B,1,S015,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.4222743467451176,True,5981.773503754845,P002909-1,C060:1|C061:1|C062:1,0.0,5793.0,U06,BAT_B04,5793.0
B,2,S001>S006,3,25.0,0.067,2.062471539742773,1847.5544443474505,0.4843821150643067,True,2076.9725654753347,P003521-1,C006:1|C027:1|C028:1,0.0,1924.0,U06,BAT_B04,1924.0
C,1,S001,9,70.0,0.232,2.728480567856419,1693.4261775174657,0.6589399290179476,True,2219.1019112412678,P008382-1,C001:1|C002:1|C003:3|C004:2|C005:1|C006:1,0.0,0.0,U07,BAT_C01,0.0
C,1,S002,7,67.0,0.184,6.300747965355022,2177.00675724525,0.2124065043306222,True,2045.0866213773752,P008441-1,C007:1|C008:2|C009:1|C010:1|C011:2,0.0,0.0,U08,BAT_C02,0.0
C,1,S004,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.2278861572025446,True,5614.43796751608,P008547-1,C017:1|C018:1|C019:1|C020:1|C021:2,0.0,4717.0,U07,BAT_C02,4717.0
C,1,S005,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.4701532040286814,True,9425.342679682091,P008594-1,C022:1|C023:1|C024:1|C025:1|C026:2,0.0,3541.0,U08,BAT_C01,3541.0
C,1,S006,3,42.0,0.081,2.3242173466480023,1362.8632994307266,0.7094728316689998,True,2588.923350284637,P008599-1,C030:1|C031:2,0.0,2178.0,U08,BAT_C04,2178.0
C,1,S008,5,45.0,0.129,5.857489201651335,2203.758395917333,0.2678138497935831,True,5700.280802041333,P008703-1,C037:1|C038:1|C039:1|C040:1|C041:1,0.0,5422.0,U08,BAT_C04,5422.0
C,2,S007>S003,9,70.0,0.232,5.941568400889239,2825.312759084484,0.2573039498888451,True,2132.299366748965,P025360-1,C012:1|C013:2|C014:1|C032:1|C033:1|C034:1|C035:1|C036:1,0.0,1694.0,U07,BAT_C03,1694.0
