state_id,x,y,z,phase,node,direct,state_kind
BS000001,109.245157676,23.040435663,308.954254,cruise,,1,boundary
BS000002,109.245140048,23.040396322,308.954254,cruise,,1,boundary
BS000003,109.19806635,23.025306717,561.804138,cruise,,1,boundary
BS000004,109.197544981,23.025573835,561.804138,cruise,,1,boundary
BS000005,109.235614538,23.053622912,398.239166,cruise,,1,boundary
BS000006,109.23567658,23.054210565,398.239166,cruise,,1,boundary
BS000007,109.228657367,23.049468814,326.410889,cruise,,1,boundary
BS000008,109.228646774,23.04966654,326.410889,cruise,,1,boundary
BS000009,109.19863932,23.02621883,511.973175,cruise,,1,boundary
BS000010,109.197852284,23.026651517,511.973175,cruise,,1,boundary
BS000011,109.221207233,23.046332943,372.909332,cruise,,1,boundary
BS000012,109.220784256,23.047991764,372.909332,cruise,,1,boundary
BS000013,109.246480113,23.039905897,293.228912,cruise,,1,boundary
BS000014,109.246816581,23.040581839,293.228912,cruise,,1,boundary
BS000015,109.267146856,23.017261945,435.636536,cruise,,1,boundary
BS000016,109.268077235,23.017486303,435.636536,cruise,,1,boundary
BS000017,109.25798858,23.03236119,413.300995,cruise,,1,boundary
BS000018,109.258542903,23.032848406,413.300995,cruise,,1,boundary
BS000019,109.262951776,23.026391036,399.181824,cruise,,1,boundary
BS000020,109.263358881,23.026617816,399.181824,cruise,,1,boundary
BS000021,109.268283561,23.006167707,591.947388,cruise,,1,boundary
BS000022,109.268389907,23.006161054,591.947388,cruise,,1,boundary
BS000023,109.206307073,23.034631313,571.799255,cruise,,1,boundary
BS000024,109.206184953,23.03476128,571.799255,cruise,,1,boundary
BS000025,109.245381207,23.040934509,308.954254,cruise,,1,boundary
BS000026,109.197554079,23.025569174,561.804138,cruise,,1,boundary
BS000027,109.198313388,23.02518015,561.804138,cruise,,1,boundary
BS000028,109.235671239,23.054159976,398.239166,cruise,,1,boundary
BS000029,109.235619879,23.053673501,398.239166,cruise,,1,boundary
BS000030,109.228614057,23.050277222,326.410889,cruise,,1,boundary
BS000031,109.22866121,23.049397071,326.410889,cruise,,1,boundary
BS000032,109.198136002,23.026495538,511.973175,cruise,,1,boundary
BS000033,109.221475135,23.045282292,372.909332,cruise,,1,boundary
BS000034,109.246724307,23.040396465,293.228912,cruise,,1,boundary
BS000035,109.267713968,23.017398702,435.636536,cruise,,1,boundary
BS000036,109.267510123,23.017349546,435.636536,cruise,,1,boundary
BS000037,109.258412594,23.032733872,413.300995,cruise,,1,boundary
BS000038,109.257694875,23.032103041,413.300995,cruise,,1,boundary
BS000039,109.26345334,23.026670435,399.181824,cruise,,1,boundary
BS000040,109.262606535,23.026198718,399.181824,cruise,,1,boundary
BS000041,109.268868434,23.006131116,591.947388,cruise,,1,boundary
BS000042,109.268974779,23.006124463,591.947388,cruise,,1,boundary
BS000043,109.205923563,23.035039466,571.799255,cruise,,1,boundary
BS000044,109.205801443,23.035169433,571.799255,cruise,,1,boundary
BS000045,109.246173265,23.040645525,309.244843,cruise,,1,boundary
BS000046,109.24594605,23.040100706,309.244843,cruise,,1,boundary
BS000047,109.208217031,23.036736991,555.944397,cruise,,1,boundary
BS000048,109.208541318,23.03670787,555.944397,cruise,,1,boundary
BS000049,109.240777034,23.0550579,408.77774,cruise,,1,boundary
BS000050,109.24074901,23.05530294,408.77774,cruise,,1,boundary
