sortie_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,service,mass_kg
P016895-1,C002,B001,P016895,0.0,2509.1184080271028,2509.1184080271028,S001,3.0
P016895-1,C001,B002,P016895,0.0,2509.1184080271028,2509.1184080271028,S001,3.0
P016895-1,C005,B003,P016895,0.0,2509.1184080271028,2509.1184080271028,S001,14.0
P002704-1,C006,B004,P002704,3861.0,858.3019870741625,4719.301987074163,S001,14.0
P003519-1,C006,B005,P003519,0.0,828.3019870741625,828.3019870741625,S001,14.0
P008330-1,C006,B006,P008330,9796.0,1248.898088758733,11044.898088758731,S001,14.0
P008330-1,C006,B007,P008330,9796.0,1248.898088758733,11044.898088758731,S001,14.0
P008330-1,C006,B008,P008330,9796.0,1248.898088758733,11044.898088758731,S001,14.0
P008330-1,C006,B009,P008330,9796.0,1248.898088758733,11044.898088758731,S001,14.0
P016895-1,C006,B010,P016895,0.0,2509.1184080271028,2509.1184080271028,S001,14.0
P008330-1,C003,B011,P008330,9796.0,1248.898088758733,11044.898088758731,S001,8.0
P008330-1,C003,B012,P008330,9796.0,1248.898088758733,11044.898088758731,S001,8.0
P008330-1,C003,B013,P008330,9796.0,1248.898088758733,11044.898088758731,S001,8.0
P002704-1,C004,B014,P002704,3861.0,858.3019870741625,4719.301987074163,S001,6.0
P016895-1,C004,B015,P016895,0.0,2509.1184080271028,2509.1184080271028,S001,6.0
P001179-1,C007,B016,P001179,1694.0,1557.874347160894,3251.874347160894,S002,3.0
P001179-1,C010,B017,P001179,1694.0,1557.874347160894,3251.874347160894,S002,14.0
P008402-1,C011,B018,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,14.0
P008402-1,C011,B019,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,14.0
P008402-1,C011,B020,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,14.0
P008402-1,C008,B021,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,8.0
P008402-1,C008,B022,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,8.0
P008402-1,C009,B023,P008402,7235.0,1488.9133786226248,8723.913378622625,S002,6.0
P008500-1,C012,B024,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,3.0
P008500-1,C015,B025,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,14.0
P002753-1,C016,B026,P002753,5776.0,1228.0940707315583,7004.094070731559,S003,14.0
P008500-1,C016,B027,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,14.0
P008500-1,C016,B028,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,14.0
P008500-1,C013,B029,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,8.0
P008500-1,C013,B030,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,8.0
P008500-1,C014,B031,P008500,5289.0,1711.3647604288242,7000.364760428824,S003,6.0
P008547-1,C017,B032,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,3.0
P008547-1,C020,B033,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,14.0
P008547-1,C021,B034,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,14.0
P008547-1,C021,B035,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,14.0
P008547-1,C018,B036,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,8.0
P008547-1,C019,B037,P008547,2822.0,1585.5620324839206,4407.56203248392,S004,6.0
P008594-1,C022,B038,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,3.0
P008594-1,C025,B039,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,14.0
P008594-1,C026,B040,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,14.0
P008594-1,C026,B041,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,14.0
P008594-1,C023,B042,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,8.0
P008594-1,C024,B043,P008594,9332.0,1374.6573203179064,10706.657320317909,S005,6.0
P003519-1,C027,B044,P003519,0.0,1463.0274345246653,1463.0274345246653,S006,3.0
P008617-1,C030,B045,P008617,0.0,1143.0766497153631,1143.0766497153631,S006,14.0
P008617-1,C031,B046,P008617,0.0,1143.0766497153631,1143.0766497153631,S006,14.0
P008617-1,C031,B047,P008617,0.0,1143.0766497153631,1143.0766497153631,S006,14.0
P008617-1,C028,B048,P008617,0.0,1143.0766497153631,1143.0766497153631,S006,8.0
P008617-1,C029,B049,P008617,0.0,1143.0766497153631,1143.0766497153631,S006,6.0
P050623-1,C032,B050,P050623,1925.0,1437.7006332510348,3362.7006332510346,S007,3.0
P050623-1,C035,B051,P050623,1925.0,1437.7006332510348,3362.7006332510346,S007,14.0
P050623-1,C036,B052,P050623,1925.0,1437.7006332510348,3362.7006332510346,S007,14.0
P050623-1,C033,B053,P050623,1925.0,1437.7006332510348,3362.7006332510346,S007,8.0
P050623-1,C034,B054,P050623,1925.0,1437.7006332510348,3362.7006332510346,S007,6.0
P051203-1,C037,B055,P051203,4538.0,1992.3883159599443,6530.3883159599445,S008,3.0
P051203-1,C040,B056,P051203,4538.0,1992.3883159599443,6530.3883159599445,S008,14.0
P051203-1,C041,B057,P051203,4538.0,1992.3883159599443,6530.3883159599445,S008,14.0
P051203-1,C038,B058,P051203,4538.0,1992.3883159599443,6530.3883159599445,S008,8.0
P051203-1,C039,B059,P051203,4538.0,1992.3883159599443,6530.3883159599445,S008,6.0
P001179-1,C042,B060,P001179,1694.0,1127.3572431194746,2821.3572431194743,S009,3.0
P002863-1,C044,B061,P002863,7473.0,1031.9793683074286,8504.979368307428,S009,14.0
P002863-1,C043,B062,P002863,7473.0,1031.9793683074286,8504.979368307428,S009,8.0
P002874-1,C045,B063,P002874,0.0,1084.8223462305075,1084.8223462305075,S010,3.0
P002874-1,C047,B064,P002874,0.0,1084.8223462305075,1084.8223462305075,S010,14.0
P002874-1,C046,B065,P002874,0.0,1084.8223462305075,1084.8223462305075,S010,8.0
P051203-1,C048,B066,P051203,4538.0,1124.5054354300685,5662.505435430068,S011,3.0
P051203-1,C050,B067,P051203,4538.0,1124.5054354300685,5662.505435430068,S011,14.0
P051203-1,C049,B068,P051203,4538.0,1124.5054354300685,5662.505435430068,S011,8.0
P008233-1,C051,B069,P008233,1678.0,1241.8300190487548,2919.830019048755,S012,3.0
P008204-1,C053,B070,P008204,1788.0,1494.6288213035043,3282.628821303504,S012,14.0
P008233-1,C052,B071,P008233,1678.0,1241.8300190487548,2919.830019048755,S012,8.0
P008204-1,C054,B072,P008204,1788.0,1032.7333575756627,2820.733357575663,S013,3.0
P008233-1,C056,B073,P008233,1678.0,1698.9321494432634,3376.932149443264,S013,14.0
P008204-1,C055,B074,P008204,1788.0,1032.7333575756627,2820.733357575663,S013,8.0
P016895-1,C057,B075,P016895,0.0,1494.8999569592945,1494.8999569592945,S014,3.0
P016895-1,C059,B076,P016895,0.0,1494.8999569592945,1494.8999569592945,S014,14.0
P016895-1,C058,B077,P016895,0.0,1494.8999569592945,1494.8999569592945,S014,8.0
P050623-1,C060,B078,P050623,1925.0,1950.235671890703,3875.235671890703,S015,3.0
P050623-1,C062,B079,P050623,1925.0,1950.235671890703,3875.235671890703,S015,14.0
P050623-1,C061,B080,P050623,1925.0,1950.235671890703,3875.235671890703,S015,8.0
