gap_id,candidate_id,first_covered_sample,last_covered_sample,covered_samples,total_required_samples,coverage_ratio,full_cover,covered_sample_ranges,min_access_margin_db,relay_g01_margin_db,lon,lat,agl_height
G000001,RP004548,0,85,86,86,1.0,1,0-85,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000002,RP004548,0,85,86,86,1.0,1,0-85,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000004,RP004548,0,85,86,86,1.0,1,0-85,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000006,RP004548,0,85,86,86,1.0,1,0-85,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000001,RP005142,0,85,86,86,1.0,1,0-85,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000002,RP005142,0,85,86,86,1.0,1,0-85,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000004,RP005142,0,85,86,86,1.0,1,0-85,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000006,RP005142,0,85,86,86,1.0,1,0-85,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000001,RP005141,0,85,86,86,1.0,1,0-85,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000002,RP005141,0,85,86,86,1.0,1,0-85,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000004,RP005141,0,85,86,86,1.0,1,0-85,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000006,RP005141,0,85,86,86,1.0,1,0-85,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000001,RP005140,0,85,86,86,1.0,1,0-85,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000002,RP005140,0,85,86,86,1.0,1,0-85,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000004,RP005140,0,85,86,86,1.0,1,0-85,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000006,RP005140,0,85,86,86,1.0,1,0-85,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000001,RP005139,0,85,86,86,1.0,1,0-85,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000002,RP005139,0,85,86,86,1.0,1,0-85,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000004,RP005139,0,85,86,86,1.0,1,0-85,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000006,RP005139,0,85,86,86,1.0,1,0-85,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000001,RP005137,0,85,86,86,1.0,1,0-85,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000002,RP005137,0,85,86,86,1.0,1,0-85,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000004,RP005137,0,85,86,86,1.0,1,0-85,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000006,RP005137,0,85,86,86,1.0,1,0-85,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000001,RP004981,0,85,86,86,1.0,1,0-85,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000002,RP004981,0,85,86,86,1.0,1,0-85,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000004,RP004981,0,85,86,86,1.0,1,0-85,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000006,RP004981,0,85,86,86,1.0,1,0-85,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000001,RP004982,0,85,86,86,1.0,1,0-85,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000002,RP004982,0,85,86,86,1.0,1,0-85,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000004,RP004982,0,85,86,86,1.0,1,0-85,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000006,RP004982,0,85,86,86,1.0,1,0-85,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000001,RP005135,0,85,86,86,1.0,1,0-85,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000002,RP005135,0,85,86,86,1.0,1,0-85,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000004,RP005135,0,85,86,86,1.0,1,0-85,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000006,RP005135,0,85,86,86,1.0,1,0-85,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000001,RP004834,0,85,86,86,1.0,1,0-85,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000002,RP004834,0,85,86,86,1.0,1,0-85,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000004,RP004834,0,85,86,86,1.0,1,0-85,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000006,RP004834,0,85,86,86,1.0,1,0-85,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000001,RP004983,0,85,86,86,1.0,1,0-85,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000002,RP004983,0,85,86,86,1.0,1,0-85,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000004,RP004983,0,85,86,86,1.0,1,0-85,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000006,RP004983,0,85,86,86,1.0,1,0-85,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000001,RP004550,0,85,86,86,1.0,1,0-85,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000002,RP004550,0,85,86,86,1.0,1,0-85,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000004,RP004550,0,85,86,86,1.0,1,0-85,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000006,RP004550,0,85,86,86,1.0,1,0-85,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000001,RP004552,0,85,86,86,1.0,1,0-85,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000002,RP004552,0,85,86,86,1.0,1,0-85,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000004,RP004552,0,85,86,86,1.0,1,0-85,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000006,RP004552,0,85,86,86,1.0,1,0-85,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000001,RP004554,0,85,86,86,1.0,1,0-85,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000002,RP004554,0,85,86,86,1.0,1,0-85,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000004,RP004554,0,85,86,86,1.0,1,0-85,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000006,RP004554,0,85,86,86,1.0,1,0-85,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000001,RP004556,0,85,86,86,1.0,1,0-85,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000002,RP004556,0,85,86,86,1.0,1,0-85,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000004,RP004556,0,85,86,86,1.0,1,0-85,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000006,RP004556,0,85,86,86,1.0,1,0-85,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000001,RP004835,0,85,86,86,1.0,1,0-85,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000002,RP004835,0,85,86,86,1.0,1,0-85,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000004,RP004835,0,85,86,86,1.0,1,0-85,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000006,RP004835,0,85,86,86,1.0,1,0-85,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000003,RP004548,0,88,89,89,1.0,1,0-88,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000005,RP004548,0,88,89,89,1.0,1,0-88,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000007,RP004548,0,88,89,89,1.0,1,0-88,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000008,RP004548,0,88,89,89,1.0,1,0-88,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000009,RP004548,0,88,89,89,1.0,1,0-88,0.12579997349286032,0.9154364460920306,109.24569444444444,23.057361111111113,20.0
G000003,RP005142,0,88,89,89,1.0,1,0-88,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000005,RP005142,0,88,89,89,1.0,1,0-88,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000007,RP005142,0,88,89,89,1.0,1,0-88,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000008,RP005142,0,88,89,89,1.0,1,0-88,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000009,RP005142,0,88,89,89,1.0,1,0-88,0.08411580567054955,0.8660337256469859,109.25791666666667,23.05291666666667,300.0
G000003,RP005141,0,88,89,89,1.0,1,0-88,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000005,RP005141,0,88,89,89,1.0,1,0-88,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000007,RP005141,0,88,89,89,1.0,1,0-88,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000008,RP005141,0,88,89,89,1.0,1,0-88,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000009,RP005141,0,88,89,89,1.0,1,0-88,0.2004611858253469,0.8852919905210541,109.25791666666667,23.05291666666667,20.0
G000003,RP005140,0,88,89,89,1.0,1,0-88,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000005,RP005140,0,88,89,89,1.0,1,0-88,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000007,RP005140,0,88,89,89,1.0,1,0-88,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000008,RP005140,0,88,89,89,1.0,1,0-88,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000009,RP005140,0,88,89,89,1.0,1,0-88,0.04865850377022696,0.9493644658360978,109.25680555555556,23.05291666666667,300.0
G000003,RP005139,0,88,89,89,1.0,1,0-88,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000005,RP005139,0,88,89,89,1.0,1,0-88,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000007,RP005139,0,88,89,89,1.0,1,0-88,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000008,RP005139,0,88,89,89,1.0,1,0-88,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000009,RP005139,0,88,89,89,1.0,1,0-88,0.1683278763767504,0.969461384886543,109.25680555555556,23.05291666666667,20.0
G000003,RP005137,0,88,89,89,1.0,1,0-88,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000005,RP005137,0,88,89,89,1.0,1,0-88,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000007,RP005137,0,88,89,89,1.0,1,0-88,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000008,RP005137,0,88,89,89,1.0,1,0-88,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000009,RP005137,0,88,89,89,1.0,1,0-88,0.10716888634929944,1.0521439505465082,109.25569444444444,23.05291666666667,20.0
G000003,RP004981,0,88,89,89,1.0,1,0-88,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000005,RP004981,0,88,89,89,1.0,1,0-88,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000007,RP004981,0,88,89,89,1.0,1,0-88,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000008,RP004981,0,88,89,89,1.0,1,0-88,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000009,RP004981,0,88,89,89,1.0,1,0-88,0.08227605440036712,1.1779663826468436,109.25125,23.05402777777778,20.0
G000003,RP004982,0,88,89,89,1.0,1,0-88,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000005,RP004982,0,88,89,89,1.0,1,0-88,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000007,RP004982,0,88,89,89,1.0,1,0-88,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000008,RP004982,0,88,89,89,1.0,1,0-88,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000009,RP004982,0,88,89,89,1.0,1,0-88,0.030847102799967274,1.1634904625877311,109.25125,23.05402777777778,300.0
G000003,RP005135,0,88,89,89,1.0,1,0-88,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000005,RP005135,0,88,89,89,1.0,1,0-88,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000007,RP005135,0,88,89,89,1.0,1,0-88,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000008,RP005135,0,88,89,89,1.0,1,0-88,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000009,RP005135,0,88,89,89,1.0,1,0-88,0.01311244597042105,1.133355913793892,109.25458333333333,23.05291666666667,20.0
G000003,RP004834,0,88,89,89,1.0,1,0-88,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000005,RP004834,0,88,89,89,1.0,1,0-88,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000007,RP004834,0,88,89,89,1.0,1,0-88,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000008,RP004834,0,88,89,89,1.0,1,0-88,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000009,RP004834,0,88,89,89,1.0,1,0-88,0.14358502969353992,1.12315535278465,109.24902777777778,23.05513888888889,20.0
G000003,RP004983,0,88,89,89,1.0,1,0-88,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000005,RP004983,0,88,89,89,1.0,1,0-88,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000007,RP004983,0,88,89,89,1.0,1,0-88,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000008,RP004983,0,88,89,89,1.0,1,0-88,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000009,RP004983,0,88,89,89,1.0,1,0-88,0.2620135498763858,1.1079131479747275,109.25236111111111,23.05402777777778,20.0
G000003,RP004550,0,88,89,89,1.0,1,0-88,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000005,RP004550,0,88,89,89,1.0,1,0-88,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000007,RP004550,0,88,89,89,1.0,1,0-88,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000008,RP004550,0,88,89,89,1.0,1,0-88,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000009,RP004550,0,88,89,89,1.0,1,0-88,0.3977845453268287,0.8676148024393058,109.24680555555555,23.057361111111113,20.0
G000003,RP004552,0,88,89,89,1.0,1,0-88,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000005,RP004552,0,88,89,89,1.0,1,0-88,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000007,RP004552,0,88,89,89,1.0,1,0-88,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000008,RP004552,0,88,89,89,1.0,1,0-88,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000009,RP004552,0,88,89,89,1.0,1,0-88,0.33497526698745617,0.8147717982845535,109.24791666666667,23.057361111111113,20.0
G000003,RP004554,0,88,89,89,1.0,1,0-88,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000005,RP004554,0,88,89,89,1.0,1,0-88,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000007,RP004554,0,88,89,89,1.0,1,0-88,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000008,RP004554,0,88,89,89,1.0,1,0-88,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000009,RP004554,0,88,89,89,1.0,1,0-88,0.24415786643291426,0.7615269631443908,109.24902777777778,23.057361111111113,20.0
G000003,RP004556,0,88,89,89,1.0,1,0-88,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000005,RP004556,0,88,89,89,1.0,1,0-88,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000007,RP004556,0,88,89,89,1.0,1,0-88,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000008,RP004556,0,88,89,89,1.0,1,0-88,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000009,RP004556,0,88,89,89,1.0,1,0-88,0.12384160493222396,0.7058162309843823,109.25013888888888,23.057361111111113,20.0
G000003,RP004835,0,88,89,89,1.0,1,0-88,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000005,RP004835,0,88,89,89,1.0,1,0-88,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000007,RP004835,0,88,89,89,1.0,1,0-88,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000008,RP004835,0,88,89,89,1.0,1,0-88,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000009,RP004835,0,88,89,89,1.0,1,0-88,0.02603104209602236,1.1025213589393985,109.24902777777778,23.05513888888889,300.0
G000010,RP007111,0,92,93,93,1.0,1,0-92,0.07551648612030704,0.848407755979963,109.18680555555555,23.039583333333333,20.0
G000011,RP007111,0,92,93,93,1.0,1,0-92,0.07551648612030704,0.848407755979963,109.18680555555555,23.039583333333333,20.0
G000013,RP007111,0,92,93,93,1.0,1,0-92,0.07551648612030704,0.848407755979963,109.18680555555555,23.039583333333333,20.0
G000015,RP007111,0,92,93,93,1.0,1,0-92,0.07551648612030704,0.848407755979963,109.18680555555555,23.039583333333333,20.0
G000010,RP009487,0,92,93,93,1.0,1,0-92,0.04791877535103595,1.0147399001021427,109.18013888888889,23.02625,300.0
G000011,RP009487,0,92,93,93,1.0,1,0-92,0.04791877535103595,1.0147399001021427,109.18013888888889,23.02625,300.0
G000013,RP009487,0,92,93,93,1.0,1,0-92,0.04791877535103595,1.0147399001021427,109.18013888888889,23.02625,300.0
G000015,RP009487,0,92,93,93,1.0,1,0-92,0.04791877535103595,1.0147399001021427,109.18013888888889,23.02625,300.0
G000010,RP009486,0,92,93,93,1.0,1,0-92,0.16415087043627352,1.0464602593058885,109.18013888888889,23.02625,20.0
G000011,RP009486,0,92,93,93,1.0,1,0-92,0.16415087043627352,1.0464602593058885,109.18013888888889,23.02625,20.0
G000013,RP009486,0,92,93,93,1.0,1,0-92,0.16415087043627352,1.0464602593058885,109.18013888888889,23.02625,20.0
G000015,RP009486,0,92,93,93,1.0,1,0-92,0.16415087043627352,1.0464602593058885,109.18013888888889,23.02625,20.0
G000010,RP009485,0,92,93,93,1.0,1,0-92,0.10398299447464865,0.8440854889958302,109.17902777777778,23.02625,300.0
G000011,RP009485,0,92,93,93,1.0,1,0-92,0.10398299447464865,0.8440854889958302,109.17902777777778,23.02625,300.0
G000013,RP009485,0,92,93,93,1.0,1,0-92,0.10398299447464865,0.8440854889958302,109.17902777777778,23.02625,300.0
G000015,RP009485,0,92,93,93,1.0,1,0-92,0.10398299447464865,0.8440854889958302,109.17902777777778,23.02625,300.0
G000010,RP009484,0,92,93,93,1.0,1,0-92,0.12809378344336153,0.8781810319430008,109.17902777777778,23.02625,20.0
G000011,RP009484,0,92,93,93,1.0,1,0-92,0.12809378344336153,0.8781810319430008,109.17902777777778,23.02625,20.0
G000013,RP009484,0,92,93,93,1.0,1,0-92,0.12809378344336153,0.8781810319430008,109.17902777777778,23.02625,20.0
G000015,RP009484,0,92,93,93,1.0,1,0-92,0.12809378344336153,0.8781810319430008,109.17902777777778,23.02625,20.0
G000010,RP009281,0,92,93,93,1.0,1,0-92,0.17113461106450245,1.1116793444429618,109.18125,23.027361111111112,300.0
G000011,RP009281,0,92,93,93,1.0,1,0-92,0.17113461106450245,1.1116793444429618,109.18125,23.027361111111112,300.0
G000013,RP009281,0,92,93,93,1.0,1,0-92,0.17113461106450245,1.1116793444429618,109.18125,23.027361111111112,300.0
G000015,RP009281,0,92,93,93,1.0,1,0-92,0.17113461106450245,1.1116793444429618,109.18125,23.027361111111112,300.0
G000010,RP008470,0,92,93,93,1.0,1,0-92,0.024692798184830167,1.4587410428691499,109.18569444444445,23.031805555555557,20.0
G000011,RP008470,0,92,93,93,1.0,1,0-92,0.024692798184830167,1.4587410428691499,109.18569444444445,23.031805555555557,20.0
G000013,RP008470,0,92,93,93,1.0,1,0-92,0.024692798184830167,1.4587410428691499,109.18569444444445,23.031805555555557,20.0
G000015,RP008470,0,92,93,93,1.0,1,0-92,0.024692798184830167,1.4587410428691499,109.18569444444445,23.031805555555557,20.0
G000010,RP008471,0,92,93,93,1.0,1,0-92,0.00551229172511114,1.431163622760593,109.18569444444445,23.031805555555557,300.0
G000011,RP008471,0,92,93,93,1.0,1,0-92,0.00551229172511114,1.431163622760593,109.18569444444445,23.031805555555557,300.0
G000013,RP008471,0,92,93,93,1.0,1,0-92,0.00551229172511114,1.431163622760593,109.18569444444445,23.031805555555557,300.0
G000015,RP008471,0,92,93,93,1.0,1,0-92,0.00551229172511114,1.431163622760593,109.18569444444445,23.031805555555557,300.0
G000010,RP008074,0,92,93,93,1.0,1,0-92,0.05063761210662676,1.4085039504187193,109.18680555555555,23.03402777777778,20.0
G000011,RP008074,0,92,93,93,1.0,1,0-92,0.05063761210662676,1.4085039504187193,109.18680555555555,23.03402777777778,20.0
G000013,RP008074,0,92,93,93,1.0,1,0-92,0.05063761210662676,1.4085039504187193,109.18680555555555,23.03402777777778,20.0
G000015,RP008074,0,92,93,93,1.0,1,0-92,0.05063761210662676,1.4085039504187193,109.18680555555555,23.03402777777778,20.0
G000010,RP008670,0,92,93,93,1.0,1,0-92,0.1717542223899784,1.3914610114581478,109.18458333333334,23.030694444444446,20.0
G000011,RP008670,0,92,93,93,1.0,1,0-92,0.1717542223899784,1.3914610114581478,109.18458333333334,23.030694444444446,20.0
G000013,RP008670,0,92,93,93,1.0,1,0-92,0.1717542223899784,1.3914610114581478,109.18458333333334,23.030694444444446,20.0
G000015,RP008670,0,92,93,93,1.0,1,0-92,0.1717542223899784,1.3914610114581478,109.18458333333334,23.030694444444446,20.0
G000010,RP008671,0,92,93,93,1.0,1,0-92,0.15383592170229576,1.3644474789313108,109.18458333333334,23.030694444444446,300.0
G000011,RP008671,0,92,93,93,1.0,1,0-92,0.15383592170229576,1.3644474789313108,109.18458333333334,23.030694444444446,300.0
G000013,RP008671,0,92,93,93,1.0,1,0-92,0.15383592170229576,1.3644474789313108,109.18458333333334,23.030694444444446,300.0
G000015,RP008671,0,92,93,93,1.0,1,0-92,0.15383592170229576,1.3644474789313108,109.18458333333334,23.030694444444446,300.0
G000010,RP007113,0,92,93,93,1.0,1,0-92,0.12274596740816435,0.9851271047946284,109.18791666666667,23.039583333333333,20.0
G000011,RP007113,0,92,93,93,1.0,1,0-92,0.12274596740816435,0.9851271047946284,109.18791666666667,23.039583333333333,20.0
G000013,RP007113,0,92,93,93,1.0,1,0-92,0.12274596740816435,0.9851271047946284,109.18791666666667,23.039583333333333,20.0
G000015,RP007113,0,92,93,93,1.0,1,0-92,0.12274596740816435,0.9851271047946284,109.18791666666667,23.039583333333333,20.0
G000010,RP007303,0,92,93,93,1.0,1,0-92,0.18971157399380445,0.8221881470323922,109.18569444444445,23.03847222222222,20.0
G000011,RP007303,0,92,93,93,1.0,1,0-92,0.18971157399380445,0.8221881470323922,109.18569444444445,23.03847222222222,20.0
