gap_id,pattern_id,coverage_start_s,coverage_end_s,before_state_id,after_state_id,required_samples,relay_alternatives,full_cover_alternatives,union_covered_samples,union_cover_pass
PG000001,P000023,710.418,1555.624,BS000001,BS000002,84,15,15,84,1
PG000002,P000024,710.418,1555.624,BS000001,BS000002,84,15,15,84,1
PG000003,P000025,710.418,1555.624,BS000001,BS000002,84,15,15,84,1
PG000004,P000026,710.418,1555.624,BS000001,BS000002,84,15,15,84,1
PG000008,P000030,710.418,1555.624,BS000001,BS000002,84,15,15,84,1
PG000005,P000027,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000006,P000028,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000007,P000029,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000009,P000031,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000010,P000032,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000011,P000033,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000012,P000034,740.418,1615.624,BS000001,BS000002,87,15,15,87,1
PG000013,P000035,794.701,1703.547,BS000003,BS000004,91,9,9,91,1
PG000014,P000036,794.701,1703.547,BS000003,BS000004,91,9,9,91,1
PG000015,P000037,794.701,1703.547,BS000003,BS000004,91,9,9,91,1
PG000016,P000038,794.701,1703.547,BS000003,BS000004,91,9,9,91,1
PG000020,P000042,794.701,1703.547,BS000003,BS000004,91,9,9,91,1
PG000017,P000039,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000018,P000040,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000019,P000041,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000021,P000043,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000022,P000044,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000023,P000045,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000024,P000046,824.701,1763.547,BS000003,BS000004,94,9,9,94,1
PG000025,P000047,840.18,1590.273,BS000005,BS000006,75,14,14,75,1
PG000026,P000048,840.18,1590.273,BS000005,BS000006,75,14,14,75,1
PG000027,P000049,840.18,1590.273,BS000005,BS000006,75,14,14,75,1
PG000028,P000050,840.18,1590.273,BS000005,BS000006,75,14,14,75,1
PG000031,P000053,840.18,1590.273,BS000005,BS000006,75,14,14,75,1
PG000029,P000051,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000030,P000052,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000032,P000054,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000033,P000055,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000034,P000056,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000035,P000057,870.18,1650.273,BS000005,BS000006,78,14,14,78,1
PG000036,P000058,776.237,1174.439,BS000007,BS000008,41,8,8,41,1
PG000037,P000059,776.237,1174.439,BS000007,BS000008,41,8,8,41,1
PG000038,P000060,776.237,1174.439,BS000007,BS000008,41,8,8,41,1
PG000039,P000061,776.237,1174.439,BS000007,BS000008,41,8,8,41,1
PG000042,P000064,776.237,1174.439,BS000007,BS000008,41,8,8,41,1
PG000040,P000062,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000041,P000063,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000043,P000065,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000044,P000066,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000045,P000067,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000046,P000068,806.237,1234.439,BS000007,BS000008,44,8,8,44,1
PG000047,P000080,778.091,1185.79,BS000009,BS000010,41,8,8,41,1
PG000048,P000081,778.091,1185.79,BS000009,BS000010,41,8,8,41,1
PG000049,P000082,778.091,1185.79,BS000009,BS000010,41,8,8,41,1
PG000050,P000083,778.091,1185.79,BS000009,BS000010,41,8,8,41,1
PG000053,P000086,778.091,1185.79,BS000009,BS000010,41,8,8,41,1
PG000051,P000084,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000052,P000085,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000054,P000087,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000055,P000088,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000056,P000089,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000057,P000090,808.091,1245.79,BS000009,BS000010,44,8,8,44,1
PG000058,P000091,771.736,1642.332,BS000011,BS000012,88,15,15,88,1
PG000059,P000092,771.736,1642.332,BS000011,BS000012,88,15,15,88,1
PG000060,P000093,771.736,1642.332,BS000011,BS000012,88,15,15,88,1
PG000061,P000094,771.736,1642.332,BS000011,BS000012,88,15,15,88,1
PG000064,P000097,771.736,1642.332,BS000011,BS000012,88,15,15,88,1
PG000062,P000095,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000063,P000096,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000065,P000098,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000066,P000099,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000067,P000100,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000068,P000101,801.736,1702.332,BS000011,BS000012,91,15,15,91,1
PG000069,P000102,705.176,1238.434,BS000013,BS000014,54,8,8,54,1
PG000070,P000103,705.176,1238.434,BS000013,BS000014,54,8,8,54,1
PG000072,P000105,705.176,1238.434,BS000013,BS000014,54,8,8,54,1
