state_id,uav_type,phase,origin,destination,local_tau,x,y,z,margin_db,terrain_blocked
OS000001,A,cruise,O01,S002,390.418085,109.24560473759551,23.041433355310218,308.9542541503906,-0.015459147502753012,1
OS000002,A,cruise,O01,S002,400.418085,109.24605179934083,23.042431047895377,308.9542541503906,-0.27433732720835735,1
OS000003,A,cruise,O01,S002,410.418085,109.24649886108615,23.043428740480536,308.9542541503906,-0.5257336779335446,1
OS000004,A,cruise,O01,S002,420.418085,109.24694592283147,23.044426433065695,308.9542541503906,-0.770067930812445,1
OS000005,A,cruise,O01,S002,430.418085,109.24739298457679,23.04542412565085,308.9542541503906,-1.0077255053339513,1
OS000006,A,cruise,O01,S002,440.418085,109.2478400463221,23.04642181823601,308.9542541503906,-1.239061145385648,1
OS000007,A,cruise,O01,S002,450.418085,109.24828710806742,23.047419510821168,308.9542541503906,-1.4644020866500256,1
OS000008,A,cruise,O01,S002,460.418085,109.24873416981274,23.048417203406327,308.9542541503906,-1.6840508259295177,1
OS000009,A,cruise,O01,S002,470.418085,109.24918123155805,23.049414895991486,308.9542541503906,-1.898287550911931,1
OS000010,A,cruise,O01,S002,480.418085,109.24962829330337,23.05041258857664,308.9542541503906,-2.1073722790722655,1
OS000011,A,cruise,O01,S002,490.418085,109.2500753550487,23.0514102811618,308.9542541503906,-2.3115467464939172,1
OS000012,A,cruise,O01,S002,500.418085,109.25052241679401,23.05240797374696,308.9542541503906,-2.511036080846452,1
OS000013,A,cruise,O01,S002,510.418085,109.25096947853933,23.053405666332118,308.9542541503906,-2.706050287443219,1
OS000014,A,cruise,O01,S002,520.418085,109.25141654028465,23.054403358917277,308.9542541503906,-2.896785572863763,1
OS000015,A,cruise,O01,S002,530.418085,109.25186360202997,23.055401051502432,308.9542541503906,-3.0834255269757875,1
OS000016,A,cruise,O01,S002,540.418085,109.25231066377529,23.05639874408759,308.9542541503906,-3.2661421811450566,1
OS000017,A,cruise,O01,S002,550.418085,109.25275772552061,23.05739643667275,308.9542541503906,-3.4450969578512343,1
OS000018,A,cruise,O01,S002,560.418085,109.25320478726593,23.05839412925791,308.9542541503906,-3.620441524821615,1
OS000019,A,cruise,O01,S002,570.418085,109.25365184901125,23.059391821843068,308.9542541503906,-3.7923185649556643,1
OS000020,A,cruise,O01,S002,580.418085,109.25409891075655,23.060389514428223,308.9542541503906,-3.9608624718074736,1
OS000021,A,cruise,O01,S002,590.418085,109.25454597250187,23.061387207013382,308.9542541503906,-4.126199979100335,1
OS000022,A,cruise,O01,S002,600.418085,109.25499303424719,23.06238489959854,308.9542541503906,-4.2884507316205145,1
OS000023,A,cruise,O01,S002,610.418085,109.25544009599251,23.0633825921837,308.9542541503906,-4.447727803938903,1
OS000024,A,cruise,O01,S002,620.418085,109.25588715773783,23.06438028476886,308.9542541503906,-4.604138172562415,1
OS000025,A,cruise,O01,S002,630.418085,109.25633421948315,23.065377977354014,308.9542541503906,-4.7577831464410565,1
OS000026,A,cruise,O01,S002,640.418085,109.25678128122847,23.066375669939173,308.9542541503906,-4.908758760168624,1
OS000027,A,cruise,O01,S002,650.418085,109.25722834297379,23.067373362524332,308.9542541503906,-5.057156133677111,1
OS000028,A,cruise,O01,S002,660.418085,109.25767540471911,23.06837105510949,308.9542541503906,-5.203061801801596,1
OS000029,A,cruise,O01,S002,670.418085,109.25812246646443,23.06936874769465,308.9542541503906,-5.34655801668697,1
OS000030,A,cruise,O01,S002,680.023772,109.2585519,23.0703271,308.9542541503906,-5.48219992618948,1
OS000031,A,cruise,O01,S002,690.023772,109.2585519,23.0703271,283.9542541503906,-5.4816158689603895,1
OS000032,A,cruise,O01,S002,700.023772,109.2585519,23.0703271,258.9542541503906,-5.481129909941075,1
OS000033,A,cruise,O01,S002,710.023772,109.2585519,23.0703271,233.95425415039062,-5.480742082073235,1
OS000034,A,handover,O01,S002,715.805474,109.2585519,23.0703271,219.5,-5.4805626320845136,1
OS000035,A,cruise,O01,S003,474.701379,109.19704180768937,23.025831630380257,561.8041381835938,-0.05571328619231508,1
OS000036,A,cruise,O01,S003,484.701379,109.19601726549816,23.026356543422086,561.8041381835938,-0.31227667653277535,1
OS000037,A,cruise,O01,S003,494.701379,109.19499272330692,23.02688145646391,561.8041381835938,-0.5615516374394645,1
OS000038,A,cruise,O01,S003,504.701379,109.1939681811157,23.027406369505737,561.8041381835938,-0.8039369034457593,1
OS000039,A,cruise,O01,S003,514.701379,109.19294363892446,23.027931282547563,561.8041381835938,-1.0397996668777694,1
OS000040,A,cruise,O01,S003,524.701379,109.19191909673323,23.02845619558939,561.8041381835938,-1.2694787875046245,1
OS000041,A,cruise,O01,S003,534.701379,109.190894554542,23.028981108631214,561.8041381835938,-1.4932876081004594,1
OS000042,A,cruise,O01,S003,544.701379,109.18987001235077,23.02950602167304,561.8041381835938,-1.7115164319840943,1
OS000043,A,cruise,O01,S003,554.701379,109.18884547015954,23.030030934714866,561.8041381835938,-1.9244347096194616,1
OS000044,A,cruise,O01,S003,564.701379,109.1878209279683,23.03055584775669,561.8041381835938,-2.1322929739524454,1
OS000045,A,cruise,O01,S003,574.701379,109.18679638577707,23.03108076079852,561.8041381835938,-2.3353245580645563,1
OS000046,A,cruise,O01,S003,584.701379,109.18577184358584,23.031605673840346,561.8041381835938,-2.5337471236315707,1
OS000047,A,cruise,O01,S003,594.701379,109.18474730139461,23.03213058688217,561.8041381835938,-2.7277640244771533,1
OS000048,A,cruise,O01,S003,604.701379,109.18372275920338,23.032655499923997,561.8041381835938,-2.9175655259539752,1
OS000049,A,cruise,O01,S003,614.701379,109.18269821701215,23.033180412965823,561.8041381835938,-3.103329897953131,1
OS000050,A,cruise,O01,S003,624.701379,109.18167367482091,23.03370532600765,561.8041381835938,-3.2852243968282835,1
OS000051,A,cruise,O01,S003,634.701379,109.18064913262968,23.034230239049474,561.8041381835938,-3.463406149437361,1
OS000052,A,cruise,O01,S003,644.701379,109.17962459043845,23.0347551520913,561.8041381835938,-3.638022950706116,1
OS000053,A,cruise,O01,S003,654.701379,109.17860004824722,23.035280065133126,561.8041381835938,-3.8092139846211097,1
OS000054,A,cruise,O01,S003,664.701379,109.17757550605599,23.03580497817495,561.8041381835938,-3.977110477253376,1
OS000055,A,cruise,O01,S003,674.701379,109.17655096386476,23.03632989121678,561.8041381835938,-4.141836289328282,1
OS000056,A,cruise,O01,S003,684.701379,109.17552642167352,23.036854804258606,561.8041381835938,-4.303508454894327,1
OS000057,A,cruise,O01,S003,694.701379,109.17450187948229,23.037379717300432,561.8041381835938,-4.462237671852165,1
OS000058,A,cruise,O01,S003,704.701379,109.17347733729106,23.037904630342258,561.8041381835938,-4.618128749383416,1
OS000059,A,cruise,O01,S003,714.701379,109.17245279509984,23.038429543384083,561.8041381835938,-4.7712810167291195,1
OS000060,A,cruise,O01,S003,724.701379,109.17142825290861,23.03895445642591,561.8041381835938,-4.921788697250605,1
OS000061,A,cruise,O01,S003,734.701379,109.17040371071738,23.039479369467735,561.8041381835938,-5.069741251210132,1
OS000062,A,cruise,O01,S003,744.701379,109.16937916852615,23.04000428250956,561.8041381835938,-5.21522369038243,1
OS000063,A,cruise,O01,S003,749.790174,109.1688578,23.0402714,561.8041381835938,-5.288334514260441,1
OS000064,A,cruise,O01,S003,759.790174,109.1688578,23.0402714,536.8041381835938,-5.28668550165753,1
OS000065,A,cruise,O01,S003,769.790174,109.1688578,23.0402714,511.80413818359375,-5.285138571589911,1
OS000066,A,cruise,O01,S003,779.790174,109.1688578,23.0402714,486.80413818359375,-5.283693833394494,1
OS000067,A,cruise,O01,S003,789.790174,109.1688578,23.0402714,461.80413818359375,-5.282351389267404,1
OS000068,A,cruise,O01,S003,799.790174,109.1688578,23.0402714,436.80413818359375,-5.281111334239938,1
OS000069,A,cruise,O01,S003,809.790174,109.1688578,23.0402714,411.80413818359375,-5.279973756156224,1
OS000070,A,cruise,O01,S003,819.790174,109.1688578,23.0402714,386.80413818359375,-5.278938735652588,1
OS000071,A,cruise,O01,S003,829.790174,109.1688578,23.0402714,361.80413818359375,-5.278006346138454,1
