pattern_id,gap_id,gap_index,tau_start,tau_end,duration_s,coverage_start,coverage_end,coverage_duration_s,n_outage_samples,before_tau,before_direct,before_x,before_y,before_z,before_phase,before_node,before_margin_db,after_tau,after_direct,after_x,after_y,after_z,after_phase,after_node,after_margin_db
P000023,PG000001,1,720.418,1555.624,835.205,710.418,1555.624,845.205,84,710.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1555.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000024,PG000002,1,720.418,1555.624,835.205,710.418,1555.624,845.205,84,710.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1555.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000025,PG000003,1,720.418,1555.624,835.205,710.418,1555.624,845.205,84,710.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1555.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000026,PG000004,1,720.418,1555.624,835.205,710.418,1555.624,845.205,84,710.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1555.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000027,PG000005,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000028,PG000006,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000029,PG000007,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000030,PG000008,1,720.418,1555.624,835.205,710.418,1555.624,845.205,84,710.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1555.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000031,PG000009,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000032,PG000010,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000033,PG000011,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000034,PG000012,1,750.418,1615.624,865.205,740.418,1615.624,875.205,87,740.418,1,109.2451576758502,23.040435662725063,308.9542541503906,cruise,,0.2513590942483859,1615.624,1,109.24514004764045,23.040396322445254,308.9542541503906,cruise,,0.262049622693425
P000035,PG000013,1,804.701,1703.547,898.845,794.701,1703.547,908.845,91,794.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1703.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000036,PG000014,1,804.701,1703.547,898.845,794.701,1703.547,908.845,91,794.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1703.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000037,PG000015,1,804.701,1703.547,898.845,794.701,1703.547,908.845,91,794.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1703.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000038,PG000016,1,804.701,1703.547,898.845,794.701,1703.547,908.845,91,794.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1703.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000039,PG000017,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000040,PG000018,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000041,PG000019,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000042,PG000020,1,804.701,1703.547,898.845,794.701,1703.547,908.845,91,794.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1703.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000043,PG000021,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000044,PG000022,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000045,PG000023,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000046,PG000024,1,834.701,1763.547,928.845,824.701,1763.547,938.845,94,824.701,1,109.1980663498806,23.02530671733843,561.8041381835938,cruise,,10.208572481089107,1763.547,1,109.19754498135447,23.025573834828872,561.8041381835938,cruise,,0.07308945276624002
P000047,PG000025,1,850.18,1590.273,740.093,840.18,1590.273,750.093,75,840.18,1,109.23561453845765,23.053622911705734,398.2391662597656,cruise,,7.886438541295334,1590.273,1,109.23567657985551,23.054210565296998,398.2391662597656,cruise,,7.774299234875102
