sortie_id,pattern_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,class_counts,visit_order
P001179-1,P001179,U01,A,BAT_A01,1764.0,4044.0,2280.0,3.003820472960228,4044.0,5412.0,1367.770358855177,"{'C007': 1, 'C010': 1, 'C042': 1}",S009>S002
P002874-1,P002874,U05,B,BAT_B01,0.0,1555.0,1555.0,1.8210449428989823,1555.0,3011.0,1455.7861419228925,"{'C045': 1, 'C046': 1, 'C047': 1}",S010
P008233-1,P008233,U05,B,BAT_B03,1783.0,3930.0,2147.0,2.8905633463258527,3930.0,5849.0,1919.2441167412028,"{'C051': 1, 'C052': 1, 'C056': 1}",S012>S013
P002704-1,P002704,U05,B,BAT_B01,3930.0,5081.0,1151.0,1.0770845709208954,5081.0,6214.0,1133.4033140657214,"{'C004': 1, 'C006': 1}",S001
P002753-1,P002753,U05,B,BAT_B04,5776.0,7737.0,1961.0,2.4234670793332462,7737.0,9454.0,1716.8357343777402,{'C016': 1},S003
P003519-1,P003519,U06,B,BAT_B02,0.0,1788.0,1788.0,1.868748732970333,1788.0,3265.0,1476.4577842871442,"{'C006': 1, 'C027': 1}",S001>S006
P008204-1,P008204,U06,B,BAT_B04,1788.0,3935.0,2147.0,2.7092178942980896,3935.0,5776.0,1840.6610875291722,"{'C053': 1, 'C054': 1, 'C055': 1}",S013>S012
P002863-1,P002863,U06,B,BAT_B02,4238.0,5739.0,1501.0,2.00615948145015,5739.0,7275.0,1536.0024419617316,"{'C043': 1, 'C044': 1}",S009
P008617-1,P008617,U07,C,BAT_C01,0.0,1495.0,1495.0,2.53556196695801,1495.0,3015.0,1520.0480327177943,"{'C028': 1, 'C029': 1, 'C030': 1, 'C031': 2}",S006
P050623-1,P050623,U07,C,BAT_C03,1925.0,4538.0,2613.0,5.387886039967234,4538.0,6831.0,2292.5524691577925,"{'C032': 1, 'C033': 1, 'C034': 1, 'C035': 1, 'C036': 1, 'C060': 1, 'C061': 1, 'C062': 1}",S007>S015
P051203-1,P051203,U07,C,BAT_C04,5127.0,7824.0,2697.0,6.377502256793861,7824.0,10385.0,2560.5735278816705,"{'C037': 1, 'C038': 1, 'C039': 1, 'C040': 1, 'C041': 1, 'C048': 1, 'C049': 1, 'C050': 1}",S011>S008
P008402-1,P008402,U07,C,BAT_C01,7865.0,9977.0,2112.0,6.125019578427351,9977.0,12469.0,2492.192802490741,"{'C008': 2, 'C009': 1, 'C011': 3}",S002
P008330-1,P008330,U07,C,BAT_C02,10407.0,11969.0,1562.0,3.090883452223125,11969.0,13639.0,1670.447601643763,"{'C003': 3, 'C006': 4}",S001
P016895-1,P016895,U08,C,BAT_C02,0.0,2822.0,2822.0,6.031424826820904,2822.0,5289.0,2466.8442239306614,"{'C001': 1, 'C002': 1, 'C004': 1, 'C005': 1, 'C006': 1, 'C057': 1, 'C058': 1, 'C059': 1}",S014>S001
P008547-1,P008547,U08,C,BAT_C01,3053.0,5359.0,2306.0,6.1769107423796425,5359.0,7865.0,2506.2466593944864,"{'C017': 1, 'C018': 1, 'C019': 1, 'C020': 1, 'C021': 2}",S004
P008500-1,P008500,U08,C,BAT_C02,5359.0,7861.0,2502.0,6.322299969862874,7861.0,10407.0,2545.6229085045284,"{'C012': 1, 'C013': 2, 'C014': 1, 'C015': 1, 'C016': 2}",S003
P008594-1,P008594,U08,C,BAT_C03,8404.0,10285.0,1881.0,4.2387743677705485,10285.0,12266.0,1981.3347246045237,"{'C022': 1, 'C023': 1, 'C024': 1, 'C025': 1, 'C026': 2}",S005
