sortie_id,pattern_id,gap_id,candidate_id,relay_uav_id,relay_session_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_session_energy_kWh,end_soc,coverage_start_offset_s,coverage_end_offset_s,relay_uav_occupancy_s,energy_component_occupancy_s,dispatch_offset_s,relay_session_end_soc,relay_session_energy_release_time_s
P002874-1,P002874,PG002234,RP082327,R01,R01-RS003,E01,367,721.8355022428693,752.646,1172.835,1385,1685,1814,0.2181281119023439,0.0598285524124071,0.0207418094899367,0.13755775,0.218376,0.9318349650305175,752.646,1172.835,1316.4948779395147,1445.934598247254,367.8104977571307,0.9317575,1814.9277499999998
P008233-1,P008233,PG004556,RP016472,R01,R01-RS001,E03,1685,2392.7805488462477,2423.2,3462.759,4028,4328,4785,0.6326759249724851,0.1726000371315112,0.1332661933965294,0.3268096944444444,2.324645,0.8022887734460984,745.2,1784.759,2641.986571589793,3099.0111661098654,7.419451153752448,0.27354843750000013,11009.38703125
P001179-1,P001179,PG000886,RP016472,R01,R01-RS001,E03,1721,2428.7805488462477,2459.176,3581.692,4147,4447,4914,0.6580238971947073,0.1726000371315112,0.1332661933965294,0.3521576666666667,2.324645,0.794367532126654,765.176,1887.692,2724.943571589793,3192.265779825143,27.395451153752447,0.27354843750000013,11009.38703125
P008204-1,P008204,PG004539,RP016472,R01,R01-RS001,E03,1790,2497.7805488462477,2528.494,3567.129,4132,4432,4889,0.6323935916391518,0.1726000371315112,0.1332661933965294,0.3265273611111111,2.324645,0.8023770026127651,740.494,1779.129,2641.062571589793,3097.9724681931984,2.7134511537524304,0.27354843750000013,11009.38703125
P008547-1,P008547,PG004680,RP016472,R01,R01-RS001,E03,3012,3719.7805488462477,3750.216,4655.5380000000005,5221,5521,5961,0.591659063861374,0.1726000371315112,0.1332661933965294,0.2857928333333333,2.324645,0.8151065425433206,928.216,1833.538,2507.749571589793,2948.111066283476,190.4354511537524,0.27354843750000013,11009.38703125
P051203-1,P051203,PG006643,RP016472,R01,R01-RS001,E03,5162,5869.780548846247,5899.832036992569,6811.192,7376,7676,8117,0.5935039970025336,0.1726000371315112,0.1332661933965294,0.287637766474493,2.324645,0.8145300009367082,1361.8320369925684,2273.192,2513.7875345972247,2954.898533379504,624.0514881463208,0.27354843750000013,11009.38703125
P008402-1,P008402,PG004579,RP016472,R01,R01-RS001,E03,7309,8016.780548846247,8047.502,8999.695,9565,9865,10311,0.6059807583058184,0.1726000371315112,0.1332661933965294,0.3001145277777777,2.324645,0.8106310130294317,812.502,1764.695,2554.620571589793,3000.800254651532,74.72145115375235,0.27354843750000013,11009.38703125
P008594-1,P008594,PG004720,RP074044,R01,R01-RS002,E01,9865,10171.390718663431,10201.484,10809.222,10964,11264,11460,0.2515399293587688,0.0434514006032604,0.0132241398666194,0.1948643888888888,0.251568,0.9213937720753848,869.484,1477.222,1398.8505744118222,1594.0698103368984,533.0932813365694,0.921385,11459.2745
P016895-1,P016895,PG005650,RP076066,R02,R02-RS004,E02,465,955.3534244838022,985.699,1734.52,2072,2372,2740,0.41353996894932,0.1020435105243659,0.0735233750916206,0.2379730833333333,0.413646,0.8707687597033376,985.699,1734.52,1906.25894688834,2274.2595592740013,465.34557551619775,0.870735625,2740.0436875
P050623-1,P050623,PG006584,RP058988,R02,R02-RS001,E04,2409,2848.3703448127926,2878.709,4054.155,4352,4652,5056,0.5014253571401056,0.0870224010807604,0.0460722338371227,0.3683307222222223,0.501528,0.843304575893717,953.709,2129.155,2242.568096791113,2646.2721481292806,484.33865518720745,0.8432725,5055.74575
P008500-1,P008500,PG004643,RP065617,R02,R02-RS002,E05,5860,6201.787167028183,6232.642,7319.686,7512,7812,8183,0.4187864096447243,0.054991512427449,0.0224758972172752,0.341319,0.419048,0.8691292469860237,943.642,2030.686,1951.0942795926617,2321.226258510831,571.8548329718169,0.8690475,8182.23825
P002753-1,P002753,PG002131,RP065617,R02,R02-RS002,E05,6138,6479.787167028183,6510.701,7308.529,7501,7801,8136,0.3304148540891687,0.054991512427449,0.0224758972172752,0.2529474444444444,0.419048,0.8967453580971347,734.701,1532.529,1661.8782795926618,1996.1093140663863,362.9138329718169,0.8690475,8182.23825
P002863-1,P002863,PG002223,RP075602,R02,R02-RS003,E06,7887,8117.625107261465,8148.176,8646.056,8712,9012,9068,0.1806809493435042,0.0178280946596896,0.0015561880171479,0.1612966666666666,0.180849,0.9435372033301548,675.176,1173.056,1124.3814019110328,1180.0970209310572,414.55089273853474,0.9434846875,9068.04646875
