task_id,gap_id,gap_index,tau_start,tau_end,duration_s,n_outage_samples
R000014,G000001,1,720.418,1555.624,835.205,84
R000015,G000002,1,720.418,1555.624,835.205,84
R000016,G000003,1,750.418,1615.624,865.205,87
R000017,G000004,1,720.418,1555.624,835.205,84
R000018,G000005,1,750.418,1615.624,865.205,87
R000019,G000006,1,720.418,1555.624,835.205,84
R000020,G000007,1,750.418,1615.624,865.205,87
R000021,G000008,1,750.418,1615.624,865.205,87
R000022,G000009,1,750.418,1615.624,865.205,87
R000023,G000010,1,804.701,1703.547,898.845,91
R000024,G000011,1,804.701,1703.547,898.845,91
R000025,G000012,1,834.701,1763.547,928.845,94
R000026,G000013,1,804.701,1703.547,898.845,91
R000027,G000014,1,834.701,1763.547,928.845,94
R000028,G000015,1,804.701,1703.547,898.845,91
R000029,G000016,1,834.701,1763.547,928.845,94
R000030,G000017,1,834.701,1763.547,928.845,94
R000031,G000018,1,834.701,1763.547,928.845,94
R000032,G000019,1,850.18,1590.273,740.093,75
R000033,G000020,1,850.18,1590.273,740.093,75
R000034,G000021,1,850.18,1590.273,740.093,75
R000035,G000022,1,880.18,1650.273,770.093,78
R000036,G000023,1,850.18,1590.273,740.093,75
R000037,G000024,1,880.18,1650.273,770.093,78
R000038,G000025,1,880.18,1650.273,770.093,78
R000039,G000026,1,880.18,1650.273,770.093,78
R000040,G000027,1,786.237,1174.439,388.202,41
R000041,G000028,1,786.237,1174.439,388.202,41
R000042,G000029,1,786.237,1174.439,388.202,41
R000043,G000030,1,816.237,1234.439,418.202,44
R000044,G000031,1,786.237,1174.439,388.202,41
R000045,G000032,1,816.237,1234.439,418.202,44
R000046,G000033,1,816.237,1234.439,418.202,44
R000047,G000034,1,816.237,1234.439,418.202,44
R000056,G000035,1,788.091,1185.79,397.699,41
R000057,G000036,1,788.091,1185.79,397.699,41
R000058,G000037,1,788.091,1185.79,397.699,41
R000059,G000038,1,818.091,1245.79,427.699,44
R000060,G000039,1,788.091,1185.79,397.699,41
R000061,G000040,1,818.091,1245.79,427.699,44
R000062,G000041,1,818.091,1245.79,427.699,44
R000063,G000042,1,818.091,1245.79,427.699,44
R000064,G000043,1,781.736,1642.332,860.595,88
R000065,G000044,1,781.736,1642.332,860.595,88
R000066,G000045,1,781.736,1642.332,860.595,88
R000067,G000046,1,811.736,1702.332,890.595,91
R000068,G000047,1,781.736,1642.332,860.595,88
R000069,G000048,1,811.736,1702.332,890.595,91
R000070,G000049,1,811.736,1702.332,890.595,91
R000071,G000050,1,811.736,1702.332,890.595,91
R000072,G000051,1,715.176,1238.434,523.257,54
R000073,G000052,1,715.176,1238.434,523.257,54
R000074,G000053,1,745.176,1298.434,553.257,57
R000075,G000054,1,715.176,1238.434,523.257,54
R000076,G000055,1,745.176,1298.434,553.257,57
R000077,G000056,1,745.176,1298.434,553.257,57
R000078,G000057,1,762.646,1142.475,379.83,39
R000079,G000058,1,762.646,1142.475,379.83,39
R000080,G000059,1,792.646,1202.475,409.83,42
R000081,G000060,1,762.646,1142.475,379.83,39
R000082,G000061,1,792.646,1202.475,409.83,42
R000083,G000062,1,792.646,1202.475,409.83,42
R000090,G000063,1,755.2,1609.638,854.437,87
R000091,G000064,1,755.2,1609.638,854.437,87
R000092,G000065,1,785.2,1669.638,884.437,90
R000093,G000066,1,755.2,1609.638,854.437,87
R000094,G000067,1,785.2,1669.638,884.437,90
R000095,G000068,1,785.2,1669.638,884.437,90
R000096,G000069,1,750.494,1119.372,368.878,38
R000097,G000070,1,750.494,1119.372,368.878,38
R000098,G000071,1,780.494,1179.372,398.878,41
R000099,G000072,1,750.494,1119.372,368.878,38
