task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000001,A,1,S001,1192.470877312685,1.1815093765129427,,1192.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000002,A,1,S001,1192.470877312685,1.190044044633542,,1192.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000003,A,1,S001,1252.470877312685,1.2366382566257779,,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000004,A,1,S001,1192.470877312685,1.2230751576769299,2750.6,1192.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000005,A,1,S001,1252.470877312685,1.2860758210865872,2690.6,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000006,A,1,S001,1192.470877312685,1.1712029791239238,2750.6,1192.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000007,A,1,S001,1252.470877312685,1.1947775744571931,2690.6,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000008,A,1,S001,1252.470877312685,1.2051640182931593,2690.6,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000009,A,1,S001,1252.470877312685,1.2439335256573965,2690.6,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000010,A,1,S001,1252.470877312685,1.1815093765129427,2690.6,1252.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000011,A,1,S001,1312.470877312685,1.2108193760785582,2630.6,1312.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000012,A,1,S001,1312.470877312685,1.2230751576769299,2630.6,1312.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000013,A,1,S001,1312.470877312685,1.2680232749127218,2630.6,1312.470877312685,0,0.0,0,0.0,2.2144147110676613,0
R000014,A,1,S002,1947.7309474720896,2.784760777273276,,1112.5254737360447,835.2054737360448,0.42880946920314467,1,835.2054737360448,-5.48219992618948,1
R000015,A,1,S002,1947.7309474720896,2.8041769787962227,,1112.5254737360447,835.2054737360448,0.42880946920314467,1,835.2054737360448,-5.48219992618948,1
R000016,A,1,S002,2007.7309474720896,2.9120729211892553,,1142.5254737360447,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000017,A,1,S002,1947.7309474720896,2.8804520955606967,2374.2,1112.5254737360447,835.2054737360448,0.42880946920314467,1,835.2054737360448,-5.48219992618948,1
R000018,A,1,S002,2007.7309474720896,3.0281685265506377,2314.2,1142.5254737360447,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000019,A,1,S002,1947.7309474720896,2.761693616757608,2374.2,1112.5254737360447,835.2054737360448,0.42880946920314467,1,835.2054737360448,-5.48219992618948,1
R000020,A,1,S002,2007.7309474720896,2.8150165943872065,2314.2,1142.5254737360447,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000021,A,1,S002,2007.7309474720896,2.8389272848085563,2314.2,1142.5254737360447,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000022,A,1,S002,2007.7309474720896,2.9291301949638244,2314.2,1142.5254737360447,865.2054737360448,0.4309369613619867,1,865.2054737360448,-5.48219992618948,1
R000023,A,1,S003,2202.2769928282455,2.8294830790518493,,1303.431829747456,898.8451630807893,0.40814355596861557,1,898.8451630807893,-5.288334514260441,1
R000024,A,1,S003,2202.2769928282455,2.850390451600208,,1303.431829747456,898.8451630807893,0.40814355596861557,1,898.8451630807893,-5.288334514260441,1
R000025,A,1,S003,2262.2769928282455,2.963542785453088,,1333.431829747456,928.8451630807893,0.4105797680944317,1,928.8451630807893,-5.288334514260441,1
R000026,A,1,S003,2202.2769928282455,2.9307167339043163,5850.9,1303.431829747456,898.8451630807893,0.40814355596861557,1,898.8451630807893,-5.288334514260441,1
R000027,A,1,S003,2262.2769928282455,3.0827565924461284,5790.9,1333.431829747456,928.8451630807893,0.4105797680944317,1,928.8451630807893,-5.288334514260441,1
R000028,A,1,S003,2202.2769928282455,2.804037247751029,5850.9,1303.431829747456,898.8451630807893,0.40814355596861557,1,898.8451630807893,-5.288334514260441,1
R000029,A,1,S003,2262.2769928282455,2.8619491421678784,5790.9,1333.431829747456,928.8451630807893,0.4105797680944317,1,928.8451630807893,-5.288334514260441,1
