K,scheme,group,services,boxes,mass_kg,transport_sorties,relay_tasks,work_s,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C,RUAV,REC
2,shortage_first,G1,S001>S006>S014>S002>S004>S008>S009>S011>S012>S013>S003>S005>S007>S015,77,733.0,16,6,49771.0,1,2,2,1,3,4,2,5
2,shortage_first,G2,S010,3,25.0,1,1,2873.0,0,1,0,0,1,0,1,1
2,balance_first,G1,S001>S006>S014>S003>S005>S007>S015,46,448.0,9,4,25276.0,0,1,2,0,2,3,1,2
2,balance_first,G2,S002>S004>S008>S009>S011>S012>S013>S010,34,310.0,8,3,27368.0,1,2,2,1,3,3,2,4
3,shortage_first,G1,S001>S006>S014>S002>S004>S008>S009>S011>S012>S013>S003,63,604.0,14,4,41635.0,1,2,2,1,3,4,2,5
3,shortage_first,G2,S005>S007>S015,14,129.0,2,2,8136.0,0,0,1,0,0,1,1,1
3,shortage_first,G3,S010,3,25.0,1,1,2873.0,0,1,0,0,1,0,1,1
3,balance_first,G1,S001>S006>S014>S005,30,297.0,6,2,14005.0,0,1,2,0,1,2,1,1
3,balance_first,G2,S002>S004>S008>S009>S011>S012>S013,31,285.0,7,2,24495.0,1,2,2,1,2,3,2,4
3,balance_first,G3,S003>S007>S015>S010,19,176.0,4,3,14144.0,0,1,1,0,1,2,1,2
