K,group_services,total_resources,total_shortage,work_cv,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C,RUAV,REC
3,S001>S006>S014>S008>S011|S002>S004>S009>S012>S013>S003>S010|S005>S007>S015,27,5,0.49653445073024105,1,3,4,1,4,5,3,6
3,S001>S006>S014>S002>S004>S009>S012>S013>S003>S010|S005>S007>S015|S008>S011,28,6,0.8923720899081707,1,2,4,1,4,5,4,7
3,S001>S006>S014>S002>S004>S009>S012>S013>S003|S005>S007>S015>S008>S011|S010,28,6,0.8119211320132527,1,3,3,1,5,5,4,6
3,S001>S006>S014|S002>S004>S009>S012>S013>S003>S010|S005>S007>S015>S008>S011,28,6,0.46683997967716384,1,3,4,1,4,6,3,6
3,S001>S006>S014>S003|S002>S004>S009>S012>S013>S010|S005>S007>S015>S008>S011,29,7,0.22016186796139728,1,3,4,1,5,5,3,7
3,S001>S006>S014>S005>S007>S015>S008>S011|S002>S004>S009>S012>S013>S003|S010,29,7,0.5969388408349883,1,4,3,1,5,5,3,7
3,S001>S006>S014>S008>S011|S002>S004>S009>S012>S013|S003>S005>S007>S015>S010,29,7,0.09360914811685159,1,4,4,1,4,5,3,7
3,S001>S006>S014>S008>S011|S002>S004>S009>S012>S013>S003|S005>S007>S015>S010,29,7,0.36782406938059786,1,4,4,1,5,5,3,6
3,S001>S006>S014>S003|S002>S004>S009>S012>S013|S005>S007>S015>S008>S011>S010,30,8,0.09004817770873437,1,4,4,1,5,5,3,7
3,S001>S006>S014>S005|S002>S004>S009>S012>S013>S003|S007>S015>S008>S011>S010,30,8,0.35113104848073656,1,4,4,1,5,6,3,6
3,S001>S006>S014>S005>S010|S002>S004>S009>S012>S013|S003>S007>S015>S008>S011,37,15,0.08455946598284364,1,5,5,1,5,6,5,9
