K,scheme,group,resource,group_peak_count,aggregate_required,inventory,aggregate_shortage,peak_start_s,peak_end_s,active_tasks
2,shortage_first,G1,TUAV_B,1,3,2,1,0.0,1788.0,P003519-1
2,shortage_first,G1,TUAV_B,1,3,2,1,3840.0,4991.0,P002704-1
2,shortage_first,G1,TUAV_C,2,3,2,1,0.0,1495.0,P008617-1;P016895-1
2,shortage_first,G1,TUAV_C,2,3,2,1,1925.0,2822.0,P016895-1;P050623-1
2,shortage_first,G1,TUAV_C,2,3,2,1,8404.0,8797.0,P008330-1;P008594-1
2,shortage_first,G1,TBAT_C,3,5,4,1,1925.0,3015.0,P008617-1;P016895-1;P050623-1
2,shortage_first,G1,TBAT_C,3,5,4,1,4538.0,5289.0,P016895-1;P050623-1;P051203-1
2,shortage_first,G1,TBAT_C,3,5,4,1,8404.0,9796.0,P008330-1;P008594-1;P051203-1
2,shortage_first,G2,TUAV_B,2,3,2,1,1788.0,3840.0,P008204-1;P008233-1
2,shortage_first,G2,TUAV_C,1,3,2,1,2822.0,5128.0,P008547-1
2,shortage_first,G2,TUAV_C,1,3,2,1,5289.0,7791.0,P008500-1
2,shortage_first,G2,TUAV_C,1,3,2,1,10277.0,12389.0,P008402-1
2,shortage_first,G2,TBAT_C,2,5,4,1,5289.0,7634.0,P008500-1;P008547-1
2,shortage_first,G2,TBAT_C,2,5,4,1,10277.0,10337.0,P008402-1;P008500-1
2,balance_first,G1,TUAV_B,2,4,2,2,0.0,1555.0,P002874-1;P003519-1
2,balance_first,G1,TUAV_C,2,3,2,1,0.0,1495.0,P008617-1;P016895-1
2,balance_first,G1,TUAV_C,2,3,2,1,1925.0,2822.0,P016895-1;P050623-1
2,balance_first,G1,TUAV_C,2,3,2,1,8404.0,8797.0,P008330-1;P008594-1
2,balance_first,G1,TBAT_B,2,5,4,1,0.0,3011.0,P002874-1;P003519-1
2,balance_first,G1,TBAT_C,3,5,4,1,1925.0,3015.0,P008617-1;P016895-1;P050623-1
2,balance_first,G1,TBAT_C,3,5,4,1,4538.0,5289.0,P016895-1;P050623-1;P051203-1
2,balance_first,G1,TBAT_C,3,5,4,1,8404.0,9796.0,P008330-1;P008594-1;P051203-1
2,balance_first,G1,RUAV,2,3,2,1,418.0,1685.0,R01-RS006;R02-RS003
2,balance_first,G2,TUAV_B,2,4,2,2,1788.0,3840.0,P008204-1;P008233-1
2,balance_first,G2,TUAV_C,1,3,2,1,2822.0,5128.0,P008547-1
2,balance_first,G2,TUAV_C,1,3,2,1,5289.0,7791.0,P008500-1
2,balance_first,G2,TUAV_C,1,3,2,1,10277.0,12389.0,P008402-1
2,balance_first,G2,TBAT_B,3,5,4,1,5179.0,5759.0,P002753-1;P008204-1;P008233-1
2,balance_first,G2,TBAT_C,2,5,4,1,5289.0,7634.0,P008500-1;P008547-1
2,balance_first,G2,TBAT_C,2,5,4,1,10277.0,10337.0,P008402-1;P008500-1
2,balance_first,G2,RUAV,1,3,2,1,1685.0,5541.0,R01-RS001
2,balance_first,G2,RUAV,1,3,2,1,5541.0,7812.0,R01-RS003
2,balance_first,G2,RUAV,1,3,2,1,7812.0,8937.0,R01-RS005
2,balance_first,G2,RUAV,1,3,2,1,10336.0,12927.0,R01-RS002
3,shortage_first,G1,TUAV_B,1,3,2,1,0.0,1788.0,P003519-1
3,shortage_first,G1,TUAV_B,1,3,2,1,3840.0,4991.0,P002704-1
3,shortage_first,G1,TUAV_C,2,4,2,2,0.0,1495.0,P008617-1;P016895-1
3,shortage_first,G1,TBAT_C,2,5,4,1,0.0,3015.0,P008617-1;P016895-1
3,shortage_first,G1,TBAT_C,2,5,4,1,4538.0,5289.0,P016895-1;P051203-1
3,shortage_first,G1,TBAT_C,2,5,4,1,7235.0,9796.0,P008330-1;P051203-1
3,shortage_first,G1,RUAV,1,3,2,1,418.0,2409.0,R02-RS003
3,shortage_first,G1,RUAV,1,3,2,1,5215.0,7676.0,R02-RS001
3,shortage_first,G2,TUAV_B,2,3,2,1,1788.0,3840.0,P008204-1;P008233-1
3,shortage_first,G2,TUAV_C,1,4,2,2,2822.0,5128.0,P008547-1
3,shortage_first,G2,TUAV_C,1,4,2,2,5289.0,7791.0,P008500-1
3,shortage_first,G2,TUAV_C,1,4,2,2,10277.0,12389.0,P008402-1
3,shortage_first,G2,TBAT_C,2,5,4,1,5289.0,7634.0,P008500-1;P008547-1
3,shortage_first,G2,TBAT_C,2,5,4,1,10277.0,10337.0,P008402-1;P008500-1
3,shortage_first,G2,RUAV,1,3,2,1,367.0,1685.0,R01-RS006
3,shortage_first,G2,RUAV,1,3,2,1,1685.0,5541.0,R01-RS001
3,shortage_first,G2,RUAV,1,3,2,1,5541.0,7812.0,R01-RS003
3,shortage_first,G2,RUAV,1,3,2,1,7812.0,8937.0,R01-RS005
3,shortage_first,G2,RUAV,1,3,2,1,10336.0,12927.0,R01-RS002
3,shortage_first,G3,TUAV_C,1,4,2,2,1925.0,4538.0,P050623-1
3,shortage_first,G3,TUAV_C,1,4,2,2,8404.0,10285.0,P008594-1
3,shortage_first,G3,TBAT_C,1,5,4,1,1925.0,6831.0,P050623-1
3,shortage_first,G3,TBAT_C,1,5,4,1,8404.0,12266.0,P008594-1
3,shortage_first,G3,RUAV,1,3,2,1,2409.0,4652.0,R02-RS002
3,shortage_first,G3,RUAV,1,3,2,1,8937.0,10336.0,R01-RS004
3,balance_first,G1,TUAV_B,2,5,2,3,0.0,1555.0,P002874-1;P003519-1
3,balance_first,G1,TUAV_C,2,5,2,3,0.0,1495.0,P008617-1;P016895-1
3,balance_first,G1,TUAV_C,2,5,2,3,8404.0,8797.0,P008330-1;P008594-1
3,balance_first,G1,TBAT_B,2,5,4,1,0.0,3011.0,P002874-1;P003519-1
3,balance_first,G1,TBAT_C,2,6,4,2,0.0,3015.0,P008617-1;P016895-1
3,balance_first,G1,TBAT_C,2,6,4,2,8404.0,10467.0,P008330-1;P008594-1
3,balance_first,G1,RUAV,2,5,2,3,418.0,1685.0,R01-RS006;R02-RS003
3,balance_first,G1,REC,2,9,6,3,418.0,1814.0,PG002234;PG005650
3,balance_first,G2,TUAV_B,2,5,2,3,1788.0,3840.0,P008204-1;P008233-1
3,balance_first,G2,TUAV_C,1,5,2,3,2822.0,5128.0,P008547-1
3,balance_first,G2,TUAV_C,1,5,2,3,10277.0,12389.0,P008402-1
3,balance_first,G2,TBAT_B,2,5,4,1,1788.0,5759.0,P008204-1;P008233-1
3,balance_first,G2,TBAT_C,1,6,4,2,2822.0,7634.0,P008547-1
3,balance_first,G2,TBAT_C,1,6,4,2,10277.0,14881.0,P008402-1
3,balance_first,G2,RUAV,1,5,2,3,1685.0,5541.0,R01-RS001
3,balance_first,G2,RUAV,1,5,2,3,7812.0,8937.0,R01-RS005
3,balance_first,G2,RUAV,1,5,2,3,10336.0,12927.0,R01-RS002
3,balance_first,G2,REC,4,9,6,3,2997.0,4822.0,PG000886;PG004539;PG004556;PG004680
3,balance_first,G3,TUAV_B,1,5,2,3,5179.0,7140.0,P002753-1
3,balance_first,G3,TUAV_C,2,5,2,3,5289.0,7235.0,P008500-1;P051203-1
3,balance_first,G3,TBAT_B,1,5,4,1,5179.0,8857.0,P002753-1
3,balance_first,G3,TBAT_C,3,6,4,2,5289.0,6831.0,P008500-1;P050623-1;P051203-1
