status,K,scheme,group,services,boxes,mass_kg,work_s,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C
PROVISIONAL_TRANSPORT_ONLY,2,transport_shortage_first,G1,S001>S002>S009>S014>S003>S006>S004>S005>S007>S015>S008>S011,71,683.0,27900.451749266347,2,1,2,2,1,4
PROVISIONAL_TRANSPORT_ONLY,2,transport_shortage_first,G2,S010>S012>S013,9,75.0,5847.7690398322,0,2,0,0,3,0
PROVISIONAL_TRANSPORT_ONLY,2,transport_balance_first,G1,S001>S002>S009>S014>S004>S008>S011,43,414.0,16832.906296499048,1,1,2,1,1,3
PROVISIONAL_TRANSPORT_ONLY,2,transport_balance_first,G2,S003>S006>S005>S007>S015>S010>S012>S013,37,344.0,16915.314492599504,1,2,2,1,3,2
PROVISIONAL_TRANSPORT_ONLY,3,transport_shortage_first,G1,S001>S002>S009>S014>S003>S006>S004>S008>S011,57,554.0,23407.92839793283,2,1,2,2,1,3
PROVISIONAL_TRANSPORT_ONLY,3,transport_shortage_first,G2,S005>S007>S015,14,129.0,4492.523351333521,0,0,1,0,0,1
PROVISIONAL_TRANSPORT_ONLY,3,transport_shortage_first,G3,S010>S012>S013,9,75.0,5847.7690398322,0,2,0,0,3,0
PROVISIONAL_TRANSPORT_ONLY,3,transport_balance_first,G1,S001>S002>S009>S014,29,285.0,11831.294717612594,1,1,2,1,1,2
PROVISIONAL_TRANSPORT_ONLY,3,transport_balance_first,G2,S003>S006>S012>S013,20,190.0,10868.219782138302,1,2,1,1,2,1
PROVISIONAL_TRANSPORT_ONLY,3,transport_balance_first,G3,S004>S005>S007>S015>S008>S011>S010,31,283.0,11048.706289347656,0,1,2,0,1,3
