from,to,distance,h_max,cruise_height,climb_height,descent_height
O01,S001,3063.407094930797,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188
O01,S002,7435.2682483091,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062
O01,S003,7261.0655409538485,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375
O01,S004,7745.651742751971,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656
O01,S005,5302.0128076982855,276.410888671875,326.410888671875,198.710888671875,131.410888671875
O01,S006,3181.0289144316203,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874
O01,S007,4533.821635606341,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812
O01,S008,8109.461983662226,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065
O01,S009,5722.672488722757,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625
O01,S010,4778.43330136777,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123
O01,S011,2817.14783394126,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376
O01,S012,7398.43934212781,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686
O01,S013,4848.700302599784,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876
O01,S014,5410.909620502695,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125
O01,S015,6019.105634595292,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375
S001,O01,3063.407094930797,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219
S001,S002,4375.111429947296,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688
S001,S003,7646.659009326058,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625
S001,S004,4947.397665203851,358.7777404785156,408.7777404785156,224.77774047851562,180.4777404785156
S001,S005,2935.3982704178266,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828125
S001,S006,5296.389689052462,343.9356384277344,393.9356384277344,209.93563842773438,79.13563842773436
S001,S007,5179.657800128225,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625
S001,S008,5983.170216573233,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627
S001,S009,2659.297911633031,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625
S001,S010,3707.6479701128087,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435
S001,S011,2350.3360860171365,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688
S001,S012,4696.513291627057,385.599609375,435.599609375,251.599609375,155.799609375
S001,S013,2894.2496690637063,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886
S001,S014,5198.596162989784,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625
S001,S015,5494.311766798541,547.315185546875,597.315185546875,413.315185546875,122.815185546875
S002,O01,7435.2682483091,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064
S002,S001,4375.111429947296,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688
S002,S003,9766.525853187639,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625
S002,S004,2246.1060981727182,283.658203125,333.658203125,114.158203125,105.35820312499999
S002,S005,3474.1318201907675,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125
S002,S006,9199.75149792535,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749
S002,S007,8119.467045487778,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062
S002,S008,4795.75091995656,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969
S002,S009,1730.8827143173448,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812
S002,S010,5938.017877533433,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373
S002,S011,5790.086452584073,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876
S002,S012,3071.9972666342474,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281
S002,S013,4556.4253269828,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751
S002,S014,7680.86897763051,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688
S002,S015,7156.956228405488,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875
S003,O01,7261.0655409538485,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376
S003,S001,7646.659009326058,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625
S003,S002,9766.525853187639,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625
S003,S004,8230.547637960408,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874
S003,S005,6332.68305025165,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375
S003,S006,4808.568012109442,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375
S003,S007,2732.819379995153,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125
S003,S008,6261.086594538331,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625
S003,S009,8884.798812209401,544.588134765625,594.588134765625,256.088134765625,364.588134765625
S003,S010,11208.756415778262,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123
S003,S011,5348.792842148937,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937
S003,S012,11798.876846452911,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624
S003,S013,10540.907031525781,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626
S003,S014,12372.475028998615,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625
S003,S015,2614.3562499141703,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375
S004,O01,7745.651742751971,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564
S004,S001,4947.397665203851,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562
S004,S002,2246.1060981727182,283.658203125,333.658203125,105.35820312499999,114.158203125
S004,S003,8230.547637960408,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875
S004,S005,2616.5100450468835,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375
S004,S006,8731.247626205603,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749
S004,S007,7107.951861397632,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875
S004,S008,2607.406751047093,336.83349609375,386.83349609375,158.53349609375,115.93349609375002
