type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
A,S001,10,12.321360772183638,12095.094993423074,76,2,9.0,0.047,1.1903888639064613,1239.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,74,2,9.0,0.047,1.1903888639064613,1239.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,3,2,22.0,0.055,1.2821115355783257,1239.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,9,2,22.0,0.055,1.2821115355783257,1239.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,15,2,22.0,0.055,1.2821115355783257,1239.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,21,1,14.0,0.027,1.218849687527148,1179.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,28,1,14.0,0.027,1.218849687527148,1179.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,35,1,14.0,0.027,1.218849687527148,1179.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,42,1,14.0,0.027,1.218849687527148,1179.5094993423072
A,S001,10,12.321360772183638,12095.094993423074,49,1,14.0,0.027,1.218849687527148,1179.5094993423072
A,S002,5,14.82246690619296,10412.977979547948,22,2,9.0,0.047,2.8520250359784693,2106.5955959095895
A,S002,5,14.82246690619296,10412.977979547948,2,2,22.0,0.055,3.067042778562679,2106.5955959095895
A,S002,5,14.82246690619296,10412.977979547948,5,2,22.0,0.055,3.067042778562679,2106.5955959095895
A,S002,5,14.82246690619296,10412.977979547948,8,1,14.0,0.027,2.9181781565445664,2046.5955959095895
A,S002,5,14.82246690619296,10412.977979547948,12,1,14.0,0.027,2.9181781565445664,2046.5955959095895
A,S003,5,14.593715144708721,10546.827753854768,22,2,9.0,0.047,2.8084527588399704,2133.365550770954
A,S003,5,14.593715144708721,10546.827753854768,2,2,22.0,0.055,3.0192578886802597,2133.365550770954
A,S003,5,14.593715144708721,10546.827753854768,5,2,22.0,0.055,3.0192578886802597,2133.365550770954
A,S003,5,14.593715144708721,10546.827753854768,8,1,14.0,0.027,2.873373304254115,2073.3655507709536
A,S003,5,14.593715144708721,10546.827753854768,12,1,14.0,0.027,2.873373304254115,2073.3655507709536
A,S004,4,12.113812014859151,8234.692079803397,12,2,9.0,0.047,2.9393369097683486,2088.6730199508493
