service,objective,total_boxes,N_f,E_total_kWh,T_total_s,A_sorties,B_sorties,C_sorties
S001,N-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
S001,E-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
S001,T-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
S002,N-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
S002,E-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
S002,T-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
S003,N-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
S003,E-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
S003,T-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
S004,N-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
S004,E-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
S004,T-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
S005,N-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
S005,E-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
S005,T-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
S006,N-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
S006,E-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
S006,T-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
S007,N-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
S007,E-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
S007,T-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
S008,N-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
S008,E-opt,5,2,5.7101177583093925,3762.541588384146,0,2,0
S008,T-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
S009,N-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
S009,E-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
S009,T-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
S010,N-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
S010,E-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
all,N-opt,80,18,58.79285988244474,31931.120533201993,0,9,9
all,E-opt,80,19,58.677900718289365,33556.93469185533,0,11,8
all,T-opt,80,18,58.79285988244474,31931.120533201993,0,9,9
