service,strategy,N_f,E_total_kWh,T_total_s,delta_E_vs_C_kWh
S001,A,10,12.321360772183638,12095.094993423074,6.3947218437040005
S001,B,7,7.748361234774926,8021.771506578965,1.821722306295288
S001,C,2,5.926638928479638,3157.0380636530954,0.0
S001,Mixed,2,5.926638928479638,3157.0380636530954,0.0
S001,Mixed-N,2,5.926638928479638,3157.0380636530954,0.0
S001,Mixed-T,2,5.926638928479638,3157.0380636530954,0.0
S002,A,5,14.82246690619296,10412.977979547948,4.286896252288132
S002,B,4,10.306789593172638,7435.013283863812,-0.22878106073218873
S002,C,2,10.535570653904827,4200.681287928,0.0
S002,Mixed,2,8.541743048816581,4085.0939649299526,-1.9938276050882457
S002,Mixed-N,2,8.541743048816581,4085.0939649299526,-1.9938276050882457
S002,Mixed-T,2,8.541743048816581,4085.0939649299526,-1.9938276050882457
S003,A,5,14.593715144708723,10546.827753854768,4.254554193501482
S003,B,4,10.154680211785248,7565.320130956636,-0.18448073942199272
S003,C,2,10.33916095120724,4291.200047574672,0.0
S003,Mixed,2,8.390459807179052,4162.930056526495,-1.9487011440281883
S003,Mixed-N,2,8.390459807179052,4162.930056526495,-1.9487011440281883
S003,Mixed-T,2,8.390459807179052,4162.930056526495,-1.9487011440281883
S004,A,4,12.113812014859151,8234.692079803397,5.99444821524146
S004,B,3,7.897251228014297,5491.453885577351,1.777887428396606
S004,C,1,6.119363799617691,2188.2416882588564,0.0
S004,Mixed,1,6.119363799617691,2188.2416882588564,0.0
S004,Mixed-N,1,6.119363799617691,2188.2416882588564,0.0
S004,Mixed-T,1,6.119363799617691,2188.2416882588564,0.0
S005,A,4,8.227800233402505,6154.382410535836,4.058875970122131
S005,B,3,5.35947002541312,4175.585527132049,1.1905457621327455
S005,C,1,4.168924263280374,1723.9815699571022,0.0
S005,Mixed,1,4.168924263280374,1723.9815699571022,0.0
S005,Mixed-N,1,4.168924263280374,1723.9815699571022,0.0
S005,Mixed-T,1,4.168924263280374,1723.9815699571022,0.0
S006,A,4,5.088771888748008,4890.099012615872,2.5256224096620548
S006,B,3,3.331283789330759,3439.471368018742,0.7681343102448057
S006,C,1,2.5631494790859533,1487.1161986006484,0.0
S006,Mixed,1,2.5631494790859533,1487.1161986006484,0.0
S006,Mixed-N,1,2.5631494790859533,1487.1161986006484,0.0
S006,Mixed-T,1,2.5631494790859533,1487.1161986006484,0.0
S007,A,3,5.635532818140679,5095.63644280317,2.253417842048595
S007,B,2,3.405030301473223,3194.8361861616913,0.022915325381138718
S007,C,1,3.382114976092084,1896.7154889141789,0.0
S007,Mixed,1,3.382114976092084,1896.7154889141789,0.0
S007,Mixed-N,1,3.382114976092084,1896.7154889141789,0.0
S007,Mixed-T,1,3.382114976092084,1896.7154889141789,0.0
S008,A,3,9.492143514038807,6304.758580942441,3.667066591574038
S008,B,2,5.7101177583093925,3762.541588384146,-0.11495916415537621
S008,C,1,5.825076922464769,2136.7274297308095,0.0
S008,Mixed,2,5.7101177583093925,3762.541588384146,-0.11495916415537621
S008,Mixed-N,1,5.825076922464769,2136.7274297308095,0.0
S008,Mixed-T,1,5.825076922464769,2136.7274297308095,0.0
S009,A,2,4.470395175601455,3464.268089502638,0.6601707241154342
S009,B,1,2.130236530099273,1631.3782951272271,-1.679987921386748
S009,C,1,3.810224451486021,1733.5499534524224,0.0
S009,Mixed,1,2.130236530099273,1631.3782951272271,-1.679987921386748
S009,Mixed-N,1,2.130236530099273,1631.3782951272271,-1.679987921386748
S009,Mixed-T,1,2.130236530099273,1631.3782951272271,-1.679987921386748
S010,A,2,3.781548815718379,3187.656289258007,0.5723695032316916
S010,B,1,1.804912115129597,1524.547034583411,-1.4042671973570904
S010,C,1,3.2091793124866874,1631.0521696745568,0.0
S010,Mixed,1,1.804912115129597,1524.547034583411,-1.4042671973570904
S010,Mixed-N,1,1.804912115129597,1524.547034583411,-1.4042671973570904
S010,Mixed-T,1,1.804912115129597,1524.547034583411,-1.4042671973570904
S011,A,2,2.2100299054063326,2273.1012335468263,0.3284930333172722
S011,B,1,1.0542701525007734,1132.6456889753713,-0.827266719588287
S011,C,1,1.8815368720890604,1209.5152293806445,0.0
S011,Mixed,1,1.0542701525007734,1132.6456889753713,-0.827266719588287
S011,Mixed-N,1,1.0542701525007734,1132.6456889753713,-0.827266719588287
S011,Mixed-T,1,1.0542701525007734,1132.6456889753713,-0.827266719588287
S012,A,2,5.772737014891379,4149.110981881145,0.851074855925388
S012,B,1,2.7498930409760503,1917.9408462029787,-2.1717691179899408
S012,C,1,4.921662158965991,2034.4595433058435,0.0
S012,Mixed,1,2.7498930409760503,1917.9408462029787,-2.1717691179899408
S012,Mixed-N,1,2.7498930409760503,1917.9408462029787,-2.1717691179899408
S012,Mixed-T,1,2.7498930409760503,1917.9408462029787,-2.1717691179899408
S013,A,2,3.815008950366925,3158.2504337116466,0.5698604857279457
S013,B,1,1.8209951870678336,1507.5018734358305,-1.4241532775711456
S013,C,1,3.245148464638979,1608.0038051985257,0.0
S013,Mixed,1,1.8209951870678336,1507.5018734358305,-1.4241532775711456
S013,Mixed-N,1,1.8209951870678336,1507.5018734358305,-1.4241532775711456
S013,Mixed-T,1,1.8209951870678336,1507.5018734358305,-1.4241532775711456
S014,A,2,4.233566632381133,3340.9607971662626,0.6253966097367689
S014,B,1,2.0196221452292424,1580.116744566375,-1.5885478774151216
S014,C,1,3.608170022644364,1680.085410134409,0.0
S014,Mixed,1,2.0196221452292424,1580.116744566375,-1.5885478774151216
S014,Mixed-N,1,2.0196221452292424,1580.116744566375,-1.5885478774151216
S014,Mixed-T,1,2.0196221452292424,1580.116744566375,-1.5885478774151216
S015,A,2,4.801698183325435,3819.564888452337,0.7362969027074868
S015,B,1,2.2954594864258335,1799.1455897396588,-1.7699417941921145
S015,C,1,4.065401280617948,1930.4633560563907,0.0
S015,Mixed,1,2.2954594864258335,1799.1455897396588,-1.7699417941921145
S015,Mixed-N,1,2.2954594864258335,1799.1455897396588,-1.7699417941921145
S015,Mixed-T,1,2.2954594864258335,1799.1455897396588,-1.7699417941921145
all,A,52,111.38058796996549,87127.38196704537,37.77926543290387
all,B,35,67.7883727997022,54179.26954930425,-5.812949737359418
all,C,18,73.60132253706162,32908.83124182015,0.0
all,Mixed,19,58.677900718289365,33556.93469185533,-14.923421818772255
all,Mixed-N,18,58.79285988244474,31931.120533201993,-14.808462654616882
all,Mixed-T,18,58.79285988244474,31931.120533201993,-14.808462654616882
