rho,type,mass_limited_areas,energy_limited_areas,m_max_mean,m_max_min,m_max_max
10,A,15,0,25.0,25.0,25.0
10,B,15,0,30.0,30.0,30.0
10,C,10,5,78.8158,71.6033,80.0
15,A,15,0,25.0,25.0,25.0
15,B,15,0,30.0,30.0,30.0
15,C,10,5,77.243,66.107,80.0
20,A,15,0,25.0,25.0,25.0
20,B,14,1,29.9343,29.0143,30.0
20,C,10,5,75.2826,59.1574,80.0
25,A,15,0,25.0,25.0,25.0
25,B,11,4,29.4999,25.7564,30.0
25,C,9,6,72.6701,50.016,80.0
30,A,13,2,24.0997,14.9454,25.0
30,B,10,5,28.2739,21.3703,30.0
30,C,8,7,68.7962,37.186,80.0
