task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R000144,U05,B,BAT_B01,0.0,1918.8,1918.753320965953,0.366864,1918.8,3682.9,1764.1,3682.9
R000255,U05,B,BAT_B02,1918.8,3426.3,1507.5018734358305,0.544751,3426.3,4882.1,1455.8,4882.1
R000234,U05,B,BAT_B03,3426.3,4950.8,1524.547034583411,0.548772,4950.8,6399.6,1448.8,6399.6
R000227,U05,B,BAT_B04,4950.8,6582.2,1631.3782951272271,0.467441,6582.2,8172.0,1589.8,8172.0
R000248,U06,B,BAT_B01,3682.9,5600.8,1917.9408462029787,0.312527,5600.8,7459.1,1858.3,7459.1
R000262,U06,B,BAT_B02,5600.8,7180.9,1580.116744566375,0.495094,7180.9,8722.7,1541.8,8722.7
R000158,U06,B,BAT_B03,7180.9,9132.2,1951.330032739159,0.376132,9132.2,10880.3,1748.0,10880.3
R000241,U06,B,BAT_B01,9132.2,10264.9,1132.6456889753713,0.736432,10264.9,11388.4,1123.5,11388.4
R010788,U07,C,BAT_C01,0.0,2510.2,2510.17694271606,0.221731,2510.2,5029.8,2519.6,5029.8
R000326,U07,C,BAT_C02,2510.2,3923.7,1413.5190318265477,0.659239,3923.7,5495.4,1571.6,5495.4
R062263,U07,C,BAT_C03,3923.7,6410.1,2486.3846966953306,0.212397,6410.1,8949.9,2539.8,8949.9
R000516,U07,C,BAT_C04,6410.1,8621.7,2211.600023787336,0.256584,8621.7,11065.8,2444.1,11065.8
R070770,U08,C,BAT_C01,5029.8,7506.7,2476.9427152143085,0.336585,7506.7,9777.4,2270.7,9777.4
R000637,U08,C,BAT_C02,7506.7,8993.8,1487.1161986006482,0.679606,8993.8,10521.3,1527.5,10521.3
R058194,U08,C,BAT_C03,8993.8,11505.9,2512.0628217473354,0.206325,11505.9,14058.8,2553.0,14058.8
R018936,U08,C,BAT_C01,11505.9,13734.1,2228.202793974612,0.391252,13734.1,15886.4,2152.3,15886.4
