task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R052432,U07,C,BAT_C01,0.0,2652.5,2652.483199850982,0.245469,2652.5,5120.6,2468.2,5120.6
R071674,U07,C,BAT_C02,2652.5,5136.4,2483.8644847049472,0.246884,5136.4,7601.4,2465.1,7601.4
R069014,U07,C,BAT_C03,5136.4,7709.8,2573.4616160530586,0.288283,7709.8,10085.2,2375.4,10085.2
R000326,U07,C,BAT_C04,7709.8,9123.3,1413.5190318265477,0.659239,9123.3,10695.0,1571.6,10695.0
R053649,U07,C,BAT_C01,9123.3,11864.4,2741.0685612688667,0.214684,11864.4,14399.3,2534.9,14399.3
R014941,U07,C,BAT_C02,11864.4,14370.9,2506.514262261126,0.211014,14370.9,16913.7,2542.8,16913.7
R072344,U08,C,BAT_C03,10085.2,12484.2,2398.9522000319184,0.42914,12484.2,14554.4,2070.2,14554.4
R010966,U08,C,BAT_C04,12484.2,15060.3,2576.17694271606,0.219461,15060.3,17584.8,2524.5,17584.8
R055555,U08,C,BAT_C01,15060.3,17905.7,2845.396123952648,0.259773,17905.7,20342.9,2437.2,20342.9
R057817,U08,C,BAT_C03,17905.7,20538.4,2632.665037323507,0.215166,20538.4,23072.2,2533.8,23072.2
R071208,U08,C,BAT_C02,20538.4,23126.3,2587.898906740877,0.209843,23126.3,25671.6,2545.3,25671.6
