task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R072839,U07,C,BAT_C01,0.0,2480.3,2480.27277020252,0.281303,2480.3,4870.8,2390.5,4870.8
R070770,U07,C,BAT_C02,2480.3,4957.2,2476.9427152143085,0.336585,4957.2,7228.0,2270.7,7228.0
R053046,U07,C,BAT_C03,4957.2,7896.3,2939.068561268866,0.250331,7896.3,10353.9,2457.6,10353.9
R000575,U07,C,BAT_C04,7896.3,10084.6,2188.2416882588564,0.23508,10084.6,12575.2,2490.7,12575.2
R063414,U07,C,BAT_C01,10084.6,12410.7,2326.103714019059,0.253807,12410.7,14860.7,2450.1,14860.7
R072343,U08,C,BAT_C02,7228.0,9475.4,2247.3939358717616,0.445055,9475.4,11511.1,2035.7,11511.1
R051122,U08,C,BAT_C03,10353.9,12738.5,2384.531904101177,0.205813,12738.5,15292.5,2554.1,15292.5
R000438,U08,C,BAT_C02,12738.5,14284.0,1545.5190318265477,0.634491,14284.0,15909.2,1625.3,15909.2
R071208,U08,C,BAT_C04,14284.0,16871.9,2587.898906740877,0.209843,16871.9,19417.2,2545.3,19417.2
R000543,U08,C,BAT_C01,16871.9,19149.5,2277.600023787336,0.236588,19149.5,21636.9,2487.4,21636.9
R007514,U08,C,BAT_C03,19149.5,21669.9,2520.4361178259232,0.232697,21669.9,24165.7,2495.8,24165.7
