iteration,n_sorties,energy_kWh,Cmax_s,hard_violations,hard_delay_s,objective
0,14,66.06489634733757,27412.000366730535,26,209896.18241328635,N
1,16,67.54196015076522,26936.164067978476,22,192621.17619488414,N
2,17,68.94473412627144,26804.164067978476,20,183021.25707412735,N
3,18,70.27761756895612,26662.522768540002,18,174260.0919473878,N
4,19,71.50231728338808,26431.290078110316,16,159662.10993553785,N
5,20,73.88308007039831,25954.788821661805,15,123211.00923694992,N
6,21,76.13678055415203,25822.788821661805,14,109551.82852726187,N
7,22,77.1802609887003,25690.788821661805,13,99816.78873321149,N
8,23,78.01524263645133,25558.788821661805,12,90732.80802352342,N
9,24,78.31702043336706,23234.88991492093,10,66973.74769740642,N
10,25,79.50880154640623,23102.88991492093,9,62587.446287302984,N
11,25,79.41400834552955,22783.92607519925,9,62021.946287302984,N
0,19,60.554734912944994,17326.005224562177,23,60114.12485299498,E
1,20,63.050323405474145,17326.005224562177,17,45173.89527176329,E
2,21,65.46879064260685,16916.168925810118,14,40307.7859489971,E
3,23,70.00633588821918,16394.34779232164,12,30890.598539626204,E
4,25,75.23183225926286,16605.969259314163,12,26676.776963158994,E
5,25,75.90688725704749,16605.969259314163,12,26124.57696315899,E
0,14,65.08381275380363,25974.009369117233,23,174869.1697643619,T
1,15,65.19452953230503,25371.887225055274,21,150516.4306898174,T
2,16,65.98347637544211,25168.193304156837,19,135545.30386862537,T
3,18,68.00144687335744,22783.988318314397,17,105172.55263587777,T
4,19,69.83578364199349,22651.988318314397,15,99469.56903181963,T
5,20,69.34806458429074,20536.594382442636,13,68438.4642614286,T
6,21,71.72299143051242,20404.594382442636,12,59765.48759055631,T
7,23,73.48831663477043,20206.59438244264,11,52058.02116921176,T
8,25,78.1594978076521,20008.59438244264,10,45345.48618659834,T
9,25,78.73598703574905,20201.51773754518,9,47234.64758841214,T
