task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,latest_start_s,has_hard_deadline,n_stops,n_boxes,visit_order
R000095,U01,A,BAT_A01,0.0,2104.5554909405723,2104.5554909405723,2.9566498761680604,2104.5554909405723,2104.5554909405723,0.0,2291.0,True,1,2,S012
R000765,U01,A,BAT_A01,2104.5554909405723,4447.186072869583,2342.630581929011,2.8615492633480244,4447.186072869583,4447.186072869583,0.0,2654.3,True,2,3,S001>S002
R000068,U01,A,BAT_A01,4447.186072869583,6508.772266517063,2061.5861936474803,3.0058378070840623,6508.772266517063,6508.772266517063,0.0,5946.4,True,1,1,S008
R001576,U01,A,BAT_A01,6508.772266517063,8875.870495341043,2367.0982288239807,3.033925454850844,8875.870495341043,8875.870495341043,0.0,5872.5,True,2,3,S004>S005
R073074,U01,A,BAT_A01,8875.870495341043,10055.37999468335,1179.5094993423072,1.218849687527148,10055.37999468335,10055.37999468335,0.0,inf,False,1,1,S001
R073075,U01,A,BAT_A01,10055.37999468335,11234.889494025658,1179.5094993423072,1.218849687527148,11234.889494025658,11234.889494025658,0.0,inf,False,1,1,S001
R073076,U01,A,BAT_A01,11234.889494025658,12414.398993367966,1179.5094993423072,1.218849687527148,12414.398993367966,12414.398993367966,0.0,inf,False,1,1,S001
R000255,U05,B,BAT_B01,0.0,1507.5018734358305,1507.5018734358305,1.8209951870678336,1507.5018734358305,1507.5018734358305,0.0,2557.4,True,1,3,S013
R000234,U05,B,BAT_B01,1507.5018734358305,3032.0489080192415,1524.547034583411,1.804912115129597,3032.0489080192415,3032.0489080192415,0.0,2562.2,True,1,3,S010
R000262,U05,B,BAT_B01,3032.0489080192415,4612.165652585616,1580.116744566375,2.0196221452292424,4612.165652585616,4612.165652585616,0.0,2520.2,True,1,3,S014
R000144,U05,B,BAT_B01,4612.165652585616,6530.918973551569,1918.753320965953,2.5325421679639737,6530.918973551569,6530.918973551569,0.0,2350.3,True,1,3,S002
R000158,U05,B,BAT_B01,6530.918973551569,8482.249006290727,1951.330032739159,2.495470010644934,8482.249006290727,8482.249006290727,0.0,6001.0,True,1,3,S003
R000241,U05,B,BAT_B01,8482.249006290727,9614.894695266099,1132.6456889753713,1.0542701525007734,9614.894695266099,9614.894695266099,0.0,9922.3,True,1,3,S011
R000227,U05,B,BAT_B01,9614.894695266099,11246.272990393327,1631.3782951272271,2.130236530099273,11246.272990393327,11246.272990393327,0.0,9676.2,True,1,3,S009
R000242,U05,B,BAT_B01,11246.272990393327,13044.213836596306,1797.9408462029787,2.2888316573371403,13044.213836596306,13044.213836596306,0.0,inf,False,1,1,S012
R000210,U05,B,BAT_B01,13044.213836596306,14835.484630788378,1791.270794192073,2.46190893214668,14835.484630788378,14835.484630788378,0.0,inf,False,1,1,S008
R000162,U05,B,BAT_B01,14835.484630788378,16605.969259314163,1770.4846285257838,2.363887467007487,16605.969259314163,16605.969259314163,0.0,inf,False,1,1,S004
R000326,U07,C,BAT_C01,0.0,1413.5190318265477,1413.5190318265477,2.72609007954481,1413.5190318265477,1413.5190318265477,0.0,2475.3,True,1,5,S001
R000637,U07,C,BAT_C01,1413.5190318265477,2900.635230427196,1487.1161986006482,2.5631494790859533,2900.635230427196,2900.635230427196,0.0,2427.8,True,1,6,S006
R000462,U07,C,BAT_C01,2900.635230427196,5000.975874391195,2100.340643964,5.783066444420856,5000.975874391195,5000.975874391195,0.0,2209.0,True,1,4,S002
R070770,U07,C,BAT_C01,5000.975874391195,7477.918589605504,2476.9427152143085,5.307322807199387,7477.918589605504,7477.918589605504,0.0,2295.3,True,2,8,S007>S015
R000556,U07,C,BAT_C01,7477.918589605504,9468.160277864361,1990.2416882588564,5.48913365316268,9468.160277864361,9468.160277864361,0.0,5905.8,True,1,3,S004
R000516,U07,C,BAT_C01,9468.160277864361,11679.760301651697,2211.600023787336,5.947329792783986,11679.760301651697,11679.760301651697,0.0,5803.6,True,1,5,S003
R062236,U07,C,BAT_C01,11679.760301651697,14062.796106135112,2383.035804483416,6.058571062322391,14062.796106135112,14062.796106135112,0.0,5839.4,True,2,5,S008>S005
R018937,U07,C,BAT_C01,14062.796106135112,16297.376944238142,2234.5808381030297,5.545036109368061,16297.376944238142,16297.376944238142,0.0,9570.0,True,2,8,S005>S001
