task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,latest_start_s,has_hard_deadline,n_stops,n_boxes,visit_order
R000054,U01,A,BAT_A01,0.0,1252.524753153968,1252.524753153968,1.2439254258709689,1252.524753153968,1252.524753153968,0.0,2695.0,True,1,2,S006
R001412,U01,A,BAT_A01,1252.524753153968,3708.164466773848,2455.63971361988,3.222707406226236,3708.164466773848,3708.164466773848,0.0,1937.3,True,2,2,S013>S002
R002291,U01,A,BAT_A01,3708.164466773848,6100.993835520989,2392.829368747141,3.111652357037474,6100.993835520989,6100.993835520989,0.0,5615.1,True,2,3,S011>S008
R073074,U01,A,BAT_A01,6100.993835520989,7280.503334863296,1179.5094993423072,1.218849687527148,7280.503334863296,7280.503334863296,0.0,inf,False,1,1,S001
R073075,U01,A,BAT_A01,7280.503334863296,8460.012834205603,1179.5094993423072,1.218849687527148,8460.012834205603,8460.012834205603,0.0,inf,False,1,1,S001
R073076,U01,A,BAT_A01,8460.012834205603,9639.52233354791,1179.5094993423072,1.218849687527148,9639.52233354791,9639.52233354791,0.0,inf,False,1,1,S001
R000129,U05,B,BAT_B01,0.0,1137.3959295112809,1137.3959295112809,0.9495192259066044,1137.3959295112809,1137.3959295112809,0.0,2735.4,True,1,2,S001
R000254,U05,B,BAT_B01,1137.3959295112809,2584.8978029471114,1447.5018734358305,1.633498481377233,2584.8978029471114,2584.8978029471114,0.0,2617.4,True,1,2,S013
R000203,U05,B,BAT_B01,2584.8978029471114,4152.315896027957,1567.4180930808457,1.8601788281660172,4152.315896027957,4152.315896027957,0.0,2642.6,True,1,2,S007
R000268,U05,B,BAT_B01,4152.315896027957,5891.461485767615,1739.1455897396586,2.060104327375468,5891.461485767615,5891.461485767615,0.0,6082.4,True,1,2,S015
R000215,U05,B,BAT_B01,5891.461485767615,7742.732279959688,1851.270794192073,3.13181010319338,7742.732279959688,7742.732279959688,0.0,6021.6,True,1,2,S008
R000237,U05,B,BAT_B01,7742.732279959688,8815.37796893506,1072.6456889753713,1.0063427439647827,8815.37796893506,8815.37796893506,0.0,9982.3,True,1,2,S011
R000182,U05,B,BAT_B01,8815.37796893506,10207.239811312409,1391.8618423773496,1.636869633947411,10207.239811312409,10207.239811312409,0.0,9836.5,True,1,2,S005
R000210,U05,B,BAT_B01,10207.239811312409,11998.510605504482,1791.270794192073,2.46190893214668,11998.510605504482,11998.510605504482,0.0,inf,False,1,1,S008
R000115,U05,B,BAT_B01,11998.510605504482,13135.906535015762,1137.3959295112809,0.9887899439944694,13135.906535015762,13135.906535015762,0.0,inf,False,1,2,S001
R000326,U07,C,BAT_C01,0.0,1413.5190318265477,1413.5190318265477,2.72609007954481,1413.5190318265477,1413.5190318265477,0.0,2475.3,True,1,5,S001
R072344,U07,C,BAT_C01,1413.5190318265477,3812.471231858466,2398.9522000319184,4.5668786475667495,3812.471231858466,3812.471231858466,0.0,1728.0,True,2,6,S014>S010
R055539,U07,C,BAT_C01,3812.471231858466,6426.634665381426,2614.16343352296,5.286337769062818,6426.634665381426,6426.634665381426,0.0,1667.8,True,2,7,S003>S007
R000462,U07,C,BAT_C01,6426.634665381426,8526.975309345426,2100.340643964,5.783066444420856,8526.975309345426,8526.975309345426,0.0,2209.0,True,1,4,S002
R071674,U07,C,BAT_C01,8526.975309345426,11010.839794050373,2483.8644847049472,6.024927140394549,11010.839794050373,11010.839794050373,0.0,2189.9,True,2,6,S012>S009
R068764,U07,C,BAT_C01,11010.839794050373,13320.301410103431,2309.4616160530586,4.83595768374598,13320.301410103431,13320.301410103431,0.0,2595.8,True,2,4,S006>S015
R057786,U07,C,BAT_C01,13320.301410103431,15820.966447426938,2500.665037323507,5.833584860141368,15820.966447426938,15820.966447426938,0.0,5395.4,True,2,6,S005>S004
R014941,U07,C,BAT_C01,15820.966447426938,18327.480709688065,2506.514262261126,6.311885602904798,18327.480709688065,18327.480709688065,0.0,5389.6,True,2,7,S001>S004
R053648,U07,C,BAT_C01,18327.480709688065,20749.585431235253,2422.1047215471867,6.1877351937767004,20749.585431235253,20749.585431235253,0.0,5839.6,True,2,5,S003>S006
R000443,U07,C,BAT_C01,20749.585431235253,22783.92607519925,2034.340643964,4.893688452182745,22783.92607519925,22783.92607519925,0.0,inf,False,1,3,S002
