task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000326,C,1,S001,饮水:5,5,70.0,0.135,2.72609007954481,1413.5190318265477,0.659239,0.0,True,2475.3
R014941,C,2,S001>S004,S001:[食品:3] S004:[饮水:3|卫生:1],7,72.0,0.2,6.311885602904798,2506.514262261126,0.211014,0.0,True,5389.6
R071674,C,2,S012>S009,S012:[医疗:1|饮水:1|食品:1] S009:[医疗:1|饮水:1|食品:1],6,50.0,0.134,6.024927140394549,2483.8644847049472,0.246884,0.0,True,2189.9
R072344,C,2,S014>S010,S014:[医疗:1|饮水:1|食品:1] S010:[医疗:1|饮水:1|食品:1],6,50.0,0.134,4.5668786475667495,2398.9522000319184,0.42914,0.0,True,1728.0
R073074,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073075,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073076,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R000129,B,1,S001,医疗:2,2,6.0,0.024,0.9495192259066044,1137.3959295112809,0.76262,0.0,True,2735.4
R000115,B,1,S001,卫生:2,2,12.0,0.07,0.9887899439944694,1137.3959295112809,0.752803,0.0,False,inf
R000462,C,1,S002,饮水:4,4,56.0,0.108,5.783066444420856,2100.340643964,0.277117,0.0,True,2209.0
R000268,B,1,S015,医疗:1|饮水:1,2,17.0,0.039,2.060104327375468,1739.1455897396586,0.484974,0.0,True,6082.4
R000254,B,1,S013,医疗:1|饮水:1,2,17.0,0.039,1.633498481377233,1447.5018734358305,0.591625,0.0,True,2617.4
R055539,C,2,S003>S007,S003:[医疗:1|食品:2|卫生:1] S007:[医疗:1|食品:1|卫生:1],7,42.0,0.178,5.286337769062818,2614.16343352296,0.339208,0.0,True,1667.8
R000203,B,1,S007,饮水:2,2,28.0,0.054,1.8601788281660172,1567.4180930808457,0.534955,0.0,True,2642.6
R001412,A,2,S013>S002,S013:[医疗:1] S002:[食品:1],2,11.0,0.04,3.222707406226236,2455.63971361988,0.283843,0.0,True,1937.3
R000443,C,1,S002,食品:2|卫生:1,3,22.0,0.091,4.893688452182745,2034.340643964,0.388289,0.0,False,inf
R000215,B,1,S008,饮水:2,2,28.0,0.054,3.13181010319338,1851.270794192073,0.217047,0.0,True,6021.6
R000054,A,1,S006,医疗:1|食品:1,2,11.0,0.04,1.2439254258709689,1252.524753153968,0.723572,0.0,True,2695.0
R068764,C,2,S006>S015,S006:[饮水:3] S015:[食品:1],4,50.0,0.109,4.83595768374598,2309.4616160530586,0.395505,0.0,True,2595.8
R000237,B,1,S011,饮水:1|食品:1,2,22.0,0.055,1.0063427439647827,1072.6456889753713,0.748414,0.0,True,9982.3
R002291,A,2,S011>S008,S011:[医疗:1|卫生:1] S008:[医疗:1],3,12.0,0.059,3.111652357037474,2392.829368747141,0.308522,0.0,True,5615.1
R000210,B,1,S008,食品:1,1,8.0,0.028,2.46190893214668,1791.270794192073,0.384523,0.0,False,inf
R057786,C,2,S005>S004,S005:[医疗:1|食品:1] S004:[饮水:3|卫生:1],6,59.0,0.156,5.833584860141368,2500.665037323507,0.270802,0.0,True,5395.4
R000182,B,1,S005,医疗:1|食品:1,2,11.0,0.04,1.636869633947411,1391.8618423773496,0.590783,0.0,True,9836.5
R053648,C,2,S003>S006,S003:[饮水:4] S006:[卫生:1],5,62.0,0.143,6.1877351937767004,2422.1047215471867,0.226533,0.0,True,5839.6
