task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000438,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.9240743474800217,1545.5190318265477,0.634491,0.0,True,2343.3
R007514,C,2,S002>S001,S002:[食品:3|卫生:2] S001:[食品:2|卫生:1],8,58.0,0.245,6.138421007871245,2520.4361178259232,0.232697,0.0,False,inf
R051122,C,2,S002>S009,S002:[医疗:1|饮水:4] S009:[食品:1],6,67.0,0.148,6.353497869707006,2384.531904101177,0.205813,0.0,True,2113.0
R072839,C,2,S012>S013,S012:[医疗:1|饮水:1|食品:1] S013:[医疗:1|饮水:1|食品:1],6,50.0,0.134,5.74957251889596,2480.27277020252,0.281303,0.0,True,1618.9
R073074,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073075,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073076,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R000606,C,1,S005,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,4.168924263280374,1723.9815699571022,0.478884,0.0,True,9522.0
R000226,B,1,S009,医疗:1|饮水:1,2,17.0,0.039,1.911339607803704,1571.3782951272271,0.522165,0.0,True,9736.2
R000240,B,1,S011,医疗:1|饮水:1,2,17.0,0.039,0.945759757311666,1072.6456889753713,0.76356,0.0,True,9982.3
R005972,B,2,S011>S008,S011:[医疗:1|食品:1] S008:[食品:1],3,19.0,0.068,2.61646463281485,2121.5821983668534,0.345884,0.0,True,5751.2
R000215,B,1,S008,饮水:2,2,28.0,0.054,3.13181010319338,1851.270794192073,0.217047,0.0,True,6021.6
R000209,B,1,S008,卫生:1,1,6.0,0.035,2.434137055654372,1791.270794192073,0.391466,0.0,False,inf
R006383,B,2,S010>S014,S010:[饮水:1] S014:[饮水:1],2,28.0,0.054,2.3169814404379627,1838.2680376377125,0.420755,0.0,True,2262.0
R006399,B,2,S010>S014,S010:[医疗:1] S014:[医疗:1|食品:1],3,14.0,0.052,1.967375529010579,1898.2680376377125,0.508156,0.0,True,2202.0
R000228,B,1,S010,食品:1,1,8.0,0.028,1.5018204917452302,1404.547034583411,0.624545,0.0,False,inf
R000029,A,1,S003,医疗:1|卫生:1,2,9.0,0.047,2.8084527588399704,2133.365550770954,0.375899,0.0,True,5940.0
R000515,C,1,S003,饮水:4,4,56.0,0.108,5.673772707917894,2145.600023787336,0.290778,0.0,True,5869.6
R053016,C,2,S006>S003,S006:[食品:2] S003:[饮水:3],5,58.0,0.137,5.536179822836887,2741.0685612688662,0.307978,0.0,True,2565.8
R000054,A,1,S006,医疗:1|食品:1,2,11.0,0.04,1.2439254258709689,1252.524753153968,0.723572,0.0,True,2695.0
R000185,B,1,S006,卫生:1,1,6.0,0.035,0.9825716246998276,1086.490456006247,0.754357,0.0,False,inf
R000038,A,1,S004,医疗:1|食品:1,2,11.0,0.04,2.9640788146040844,2088.6730199508493,0.341316,0.0,True,5902.5
R000556,C,1,S004,饮水:3,3,42.0,0.081,5.48913365316268,1990.2416882588564,0.313858,0.0,True,5905.8
R000161,B,1,S004,卫生:1,1,6.0,0.035,2.3373325047326072,1770.4846285257838,0.415667,0.0,False,inf
R070771,C,2,S015>S007,S015:[医疗:1|饮水:2|食品:1|卫生:1] S007:[医疗:1|饮水:1|食品:1],8,70.0,0.196,5.883812035296323,2669.866070316848,0.264523,0.0,True,1612.1
