task_id,box_id,delivery_time_s,deadline_s,delay_s
R000144,B016,5861.865652585616,3600.0,2261.865652585616
R000158,B024,7729.918973551569,7200.0,529.9189735515693
R000262,B075,4111.848908019241,3600.0,511.8489080192412
R000262,B076,4111.848908019241,3600.0,511.8489080192412
R000516,B025,10864.56027786436,7200.0,3664.5602778643606
R070770,B051,6305.675874391195,3600.0,2705.675874391195
R070770,B050,6305.675874391195,3600.0,2705.675874391195
R000462,B017,4291.635230427196,3600.0,691.6352304271959
R001576,B032,7836.272266517063,7200.0,636.2722665170631
R000556,B033,8772.118589605505,7200.0,1572.118589605505
R062236,B056,13040.360301651697,7200.0,5840.360301651697
R018937,B039,15292.796106135112,10800.0,4492.7961061351125
