box_id,service,cargo_type,task_id,delivery_time_s,deadline_s,delay_s,objective
B003,S001,饮用水,R000326,8834.5,3600.0,5234.5,N
B004,S001,饮用水,R000326,8834.5,3600.0,5234.5,N
B005,S001,饮用水,R000326,8834.5,3600.0,5234.5,N
B006,S001,饮用水,R000326,8834.5,3600.0,5234.5,N
B007,S001,饮用水,R000326,8834.5,3600.0,5234.5,N
B001,S001,医疗物资,R010966,13662.9,3600.0,10062.9,N
B002,S001,医疗物资,R010966,13662.9,3600.0,10062.9,N
B014,S001,生活卫生用品,R010966,13662.9,10800.0,2862.9,N
B015,S001,生活卫生用品,R010966,13662.9,10800.0,2862.9,N
B017,S002,饮用水,R010966,14351.1,3600.0,10751.1,N
B018,S002,饮用水,R010966,14351.1,3600.0,10751.1,N
B019,S002,饮用水,R010966,14351.1,3600.0,10751.1,N
B020,S002,饮用水,R010966,14351.1,3600.0,10751.1,N
B011,S001,应急食品,R014941,12977.1,7200.0,5777.1,N
B012,S001,应急食品,R014941,12977.1,7200.0,5777.1,N
B013,S001,应急食品,R014941,12977.1,7200.0,5777.1,N
B033,S004,饮用水,R014941,13674.8,7200.0,6474.8,N
B034,S004,饮用水,R014941,13674.8,7200.0,6474.8,N
B035,S004,饮用水,R014941,13674.8,7200.0,6474.8,N
B037,S004,生活卫生用品,R014941,13674.8,14400.0,0.0,N
B016,S002,医疗物资,R052432,1943.2,3600.0,0.0,N
B021,S002,应急食品,R052432,1943.2,7200.0,0.0,N
B022,S002,应急食品,R052432,1943.2,7200.0,0.0,N
B023,S002,生活卫生用品,R052432,1943.2,10800.0,0.0,N
B072,S013,医疗物资,R052432,1228.9,3600.0,0.0,N
B073,S013,饮用水,R052432,1228.9,3600.0,0.0,N
B074,S013,应急食品,R052432,1228.9,7200.0,0.0,N
B025,S003,饮用水,R053649,11049.2,7200.0,3849.2,N
B026,S003,饮用水,R053649,11049.2,7200.0,3849.2,N
B027,S003,饮用水,R053649,11049.2,7200.0,3849.2,N
B028,S003,饮用水,R053649,11049.2,7200.0,3849.2,N
B049,S006,生活卫生用品,R053649,10085.5,10800.0,0.0,N
