task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R073074,U01,A,BAT_A01,12000.0,13179.509499342308,1179.5094993423072,1.218849687527148,13179.509499342308,14031.621631294594,852.1121319522872,1,1,S001
R073075,U01,A,BAT_A01,28500.0,29679.509499342308,1179.5094993423072,1.218849687527148,29679.509499342308,30531.621631294594,852.1121319522872,1,1,S001
R073076,U02,A,BAT_A02,29100.0,30279.509499342308,1179.5094993423072,1.218849687527148,30279.509499342308,31131.621631294594,852.1121319522872,1,1,S001
R000248,U05,B,BAT_B01,300.0,2217.9408462029787,1917.9408462029787,2.7498930409760503,2217.9408462029787,4076.227830625934,1858.2869844229551,1,3,S012
R000234,U05,B,BAT_B03,2400.0,3924.547034583411,1524.547034583411,1.804912115129597,3924.547034583411,5373.342284472903,1448.7952498894922,1,3,S010
R000269,U05,B,BAT_B01,4800.0,6599.145589739659,1799.1455897396586,2.295459486425833,6599.145589739659,8260.511367190853,1661.3657774511944,1,3,S015
R003894,U05,B,BAT_B03,6600.0,8586.320112617615,1986.320112617616,2.599716165655794,8586.320112617615,10379.53045106846,1793.2103384508441,2,2,S002>S009
R000262,U06,B,BAT_B02,300.0,1880.116744566375,1580.116744566375,2.0196221452292424,1880.116744566375,3421.9530074990466,1541.8362629326716,1,3,S014
R000255,U06,B,BAT_B04,2400.0,3907.5018734358305,1507.5018734358305,1.8209951870678336,3907.5018734358305,5363.266454498558,1455.764581062728,1,3,S013
R000158,U06,B,BAT_B02,5100.0,7051.330032739159,1951.330032739159,2.495470010644934,7051.330032739159,8799.367037351964,1748.0370046128046,1,3,S003
R003908,U06,B,BAT_B04,8100.0,10146.320112617615,2046.320112617616,2.5310478879580725,10146.320112617615,11909.774197399447,1763.4540847818314,2,3,S002>S009
R000637,U07,C,BAT_C01,0.0,1487.1161986006482,1487.1161986006482,2.5631494790859533,1487.1161986006482,3014.635849186427,1527.519650585779,1,6,S006
R000438,U07,C,BAT_C03,1500.0,3045.5190318265477,1545.5190318265477,2.9240743474800217,3045.5190318265477,4670.789167602386,1625.2701357758392,1,7,S001
R000575,U07,C,BAT_C01,3300.0,5488.241688258857,2188.2416882588564,6.119363799617691,5488.241688258857,7978.902717321982,2490.6610290631247,1,6,S004
R000516,U07,C,BAT_C03,5700.0,7911.600023787336,2211.600023787336,5.947329792783986,7911.600023787336,10355.668509332998,2444.068485545663,1,5,S003
R000280,U07,C,BAT_C01,16500.0,17913.51903182655,1413.5190318265477,2.1464427914807525,17913.51903182655,19328.18062118592,1414.6615893593705,1,5,S001
R000660,U08,C,BAT_C02,0.0,1896.7154889141789,1896.7154889141789,3.382114976092084,1896.7154889141789,3646.0382949391183,1749.3228060249394,1,5,S007
R051122,U08,C,BAT_C04,2100.0,4484.531904101177,2384.531904101177,6.353497869707006,4484.531904101177,7038.604243813491,2554.072339712314,2,6,S002>S009
R071208,U08,C,BAT_C02,4500.0,7087.898906740877,2587.898906740877,6.321254207921866,7087.898906740877,9633.23858805305,2545.3396813121717,2,8,S011>S008
R000606,U08,C,BAT_C04,7500.0,9223.981569957103,1723.9815699571022,4.168924263280374,9223.981569957103,11186.398557928871,1962.4169879717679,1,6,S005
