task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R073076,U01,A,BAT_A01,4200.0,5379.509499342307,1179.5094993423072,1.218849687527148,5379.509499342307,6231.621631294594,852.1121319522872,1,1,S001
R073075,U01,A,BAT_A02,5700.0,6879.509499342307,1179.5094993423072,1.218849687527148,6879.509499342307,7731.621631294594,852.1121319522872,1,1,S001
R073074,U01,A,BAT_A01,8700.0,9879.509499342308,1179.5094993423072,1.218849687527148,9879.509499342308,10731.621631294594,852.1121319522872,1,1,S001
R000262,U05,B,BAT_B01,0.0,1580.116744566375,1580.116744566375,2.0196221452292424,1580.116744566375,3121.9530074990466,1541.8362629326716,1,3,S014
R000234,U05,B,BAT_B03,1800.0,3324.547034583411,1524.547034583411,1.804912115129597,3324.547034583411,4773.342284472903,1448.7952498894922,1,3,S010
R006558,U05,B,BAT_B01,3600.0,5493.402632083216,1893.4026320832168,2.173628061055762,5493.402632083216,7101.974791874047,1608.5721597908303,2,2,S015>S011
R003894,U05,B,BAT_B03,6300.0,8286.320112617615,1986.320112617616,2.599716165655794,8286.320112617615,10079.53045106846,1793.2103384508441,2,2,S002>S009
R000175,U05,B,BAT_B04,8700.0,10091.86184237735,1391.8618423773496,1.6781151320789196,10091.86184237735,11485.711732944881,1393.849890567532,1,2,S005
R006544,U05,B,BAT_B02,10200.0,12093.402632083216,1893.4026320832168,2.103757575948258,12093.402632083216,13671.697581660796,1578.2949495775783,2,2,S015>S011
R000255,U06,B,BAT_B02,300.0,1807.5018734358305,1507.5018734358305,1.8209951870678336,1807.5018734358305,3263.2664544985582,1455.764581062728,1,3,S013
R000248,U06,B,BAT_B04,2100.0,4017.9408462029787,1917.9408462029787,2.7498930409760503,4017.9408462029787,5876.227830625934,1858.2869844229551,1,3,S012
R004000,U06,B,BAT_B02,5100.0,7289.542314985056,2189.542314985056,2.7007259611194536,7289.542314985056,9126.523564803487,1836.9812498184301,2,3,S011>S002
R005856,U06,B,BAT_B01,8100.0,10185.24034094673,2085.2403409467306,2.3020573323030398,10185.24034094673,11849.465184944715,1664.224843997984,2,2,S015>S007
R000438,U07,C,BAT_C01,0.0,1545.5190318265477,1545.5190318265477,2.9240743474800217,1545.5190318265477,3170.789167602387,1625.2701357758392,1,7,S001
R000637,U07,C,BAT_C03,1800.0,3287.116198600648,1487.1161986006482,2.5631494790859533,3287.116198600648,4814.635849186427,1527.519650585779,1,6,S006
R000543,U07,C,BAT_C01,3300.0,5577.600023787336,2277.600023787336,6.107298620536184,5577.600023787336,8064.993400182552,2487.3933763952164,1,6,S003
R000683,U07,C,BAT_C03,5700.0,7836.727429730809,2136.727429730809,5.825076922464769,7836.727429730809,10247.685762898349,2410.9583331675412,1,5,S008
R000687,U07,C,BAT_C01,9300.0,10901.549953452422,1601.5499534524224,3.6169156484798375,10901.549953452422,12714.464608249045,1812.9146547966227,1,1,S009
R000659,U08,C,BAT_C02,0.0,1830.7154889141789,1830.7154889141789,3.2797566216131173,1830.7154889141789,3552.3162406010647,1721.6007516868858,1,4,S007
R051122,U08,C,BAT_C04,2100.0,4484.531904101177,2384.531904101177,6.353497869707006,4484.531904101177,7038.604243813491,2554.072339712314,2,6,S002>S009
R058194,U08,C,BAT_C02,4800.0,7312.062821747335,2512.0628217473354,6.349401329408673,7312.062821747335,9865.025681795518,2552.9628600481824,2,7,S004>S005
R018936,U08,C,BAT_C04,7500.0,9728.202793974611,2228.202793974612,4.869981111583424,9728.202793974611,11880.489345028454,2152.286551053844,2,8,S001>S005
R000495,U08,C,BAT_C02,10200.0,12213.600023787336,2013.600023787336,4.722783984191667,12213.600023787336,14326.020686172578,2112.4206623852433,1,2,S003
