,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,97.68289184570312,127.37615966796875,20.01068115234375,66.16731567382811,24.03955078125,10.327227783203114,15.7220458984375,27.389184570312523,106.56185913085938,19.981665039062477,43.260717773437506,97.82396240234374,20.00806884765626,19.982513427734375,41.962799072265625
S001,119.05572204589843,0.0,64.826171875,20.01068115234375,29.146319580078114,88.321533203125,10.327227783203114,15.7220458984375,135.43746337890627,37.6104736328125,42.01120605468748,15.942861938476568,23.51507873535155,20.00806884765626,104.08322143554688,11.729248046875
S002,278.1477783203125,132.29071044921875,0.0,20.01068115234375,92.94572753906249,113.95425415039062,253.04210205078124,15.7220458984375,38.46843872070315,27.426498413085938,25.482031249999977,149.68533935546876,55.22691650390624,20.00806884765626,59.494384765625,11.729248046875
S003,461.60926513671876,174.51068115234375,502.76483154296875,0.0,522.716845703125,402.75225830078125,244.11085815429686,41.75994873046875,507.4842163085938,353.10137939453125,146.19257202148435,146.41068115234376,291.40550537109374,50.497784423828136,214.69012451171875,46.531219482421875
S004,244.3750427246094,129.05270385742188,122.92770385742188,50.120361328125,0.0,185.35888671875,406.095751953125,269.92340087890625,27.389184570312523,103.93890380859375,19.981665039062477,173.46362915039063,70.48124999999999,29.788983154296886,19.982513427734375,11.729248046875
S005,132.67881469726564,182.6746826171875,144.130615234375,20.01068115234375,176.4595520019531,0.0,271.072314453125,87.87356567382812,27.389184570312523,9.437088012695312,19.981665039062477,112.2507080078125,23.51507873535155,20.00806884765626,198.14068603515625,11.729248046875
S006,197.42722778320314,227.06576538085938,174.48626708984375,344.01654052734375,165.63563842773436,198.93563842773438,0.0,208.01290893554688,98.14754638671877,170.46759033203125,208.51056518554685,178.9712890625,145.4806396484375,179.196728515625,19.982513427734375,41.282379150390625
S007,520.0623291015625,233.77001953125,410.97021484375,214.76019287109375,323.5207092285156,395.29827880859375,126.33769531249999,0.0,199.14504394531252,407.14971923828125,195.0688537597656,205.67001953125,338.4607421875,56.90723876953126,208.86819458007812,11.729248046875
S008,245.3506286621094,215.17770385742188,144.81085205078125,428.58740234375,79.46654052734374,168.54592895507812,78.08842773437499,182.35214233398438,0.0,138.24002075195312,76.15585937499998,112.89462890625,101.85991210937499,20.00806884765626,126.13076782226562,298.37127685546875
S009,218.4680908203125,111.71269226074219,72.56538391113281,20.01068115234375,108.83650512695311,64.59786987304688,10.327227783203114,15.7220458984375,27.389184570312523,0.0,102.92703857421873,58.83392944335938,23.51507873535155,65.62284545898439,93.39739990234375,11.729248046875
S010,331.0491455078125,320.07037353515625,211.57968139648438,124.9571533203125,216.5845520019531,278.80474853515625,175.2442199707031,113.38427734375,192.96624145507815,214.88455200195312,0.0,259.1064208984375,207.03468627929686,79.37968139648439,126.94424438476562,17.35394287109375
S011,129.95652465820314,84.16545104980469,142.28533935546875,20.01068115234375,55.496920776367176,84.92442321777344,241.08009643554686,15.7220458984375,61.28890380859377,94.65771484375,19.981665039062477,0.0,67.74891967773436,20.00806884765626,19.982513427734375,11.729248046875
S012,313.28822021484376,251.24557495117188,189.97528076171875,74.25869750976562,199.1200439453125,132.55780029296875,117.97191162109374,95.97064208984375,196.06453857421877,78.44781494140625,19.981665039062477,231.00433959960938,0.0,70.35844116210939,19.982513427734375,11.729248046875
S013,295.00352172851564,187.70806884765625,154.9444580078125,55.552276611328125,143.40806884765624,177.97015380859375,127.96498413085936,29.178253173828125,100.80806884765627,141.70806884765625,65.94681396484373,159.60806884765626,148.496630859375,0.0,127.78741455078125,11.729248046875
S014,291.82947998046876,374.7425231933594,399.06683349609375,152.96917724609375,371.7504150390625,387.1881103515625,91.72581787109374,139.4000244140625,331.9875122070313,372.14361572265625,256.1218017578125,303.9934448242187,111.47026367187499,261.79615478515626,0.0,58.76031494140625
S015,457.943798828125,318.43408203125,554.4313354492188,254.608642578125,477.3468505859375,520.5194091796875,197.62559814453124,137.729248046875,413.692041015625,480.640625,232.78293457031248,310.173193359375,427.486865234375,156.7856872558594,161.3328857421875,0.0
