,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,231.68289184570312,296.87615966796875,308.51068115234375,244.46731567382812,169.03955078125,275.1272277832031,314.2220458984375,248.2891845703125,286.5618591308594,321.5816650390625,205.3607177734375,327.62396240234375,321.70806884765625,320.9825134277344,466.4627990722656
S001,196.75572204589844,0.0,234.326171875,308.51068115234375,207.44631958007812,233.321533203125,275.1272277832031,314.2220458984375,356.33746337890625,217.6104736328125,343.6112060546875,178.04286193847656,253.31507873535156,321.70806884765625,405.0832214355469,436.229248046875
S002,355.8477783203125,266.29071044921875,0.0,308.51068115234375,271.2457275390625,258.9542541503906,517.8421020507812,314.2220458984375,259.3684387207031,207.42649841308594,327.08203125,311.78533935546875,285.02691650390625,321.70806884765625,360.494384765625,436.229248046875
S003,539.3092651367188,308.51068115234375,672.2648315429688,0.0,701.016845703125,547.7522583007812,508.9108581542969,340.25994873046875,728.3842163085938,533.1013793945312,447.7925720214844,308.51068115234375,521.2055053710938,352.1977844238281,515.6901245117188,471.0312194824219
S004,322.0750427246094,263.0527038574219,292.4277038574219,338.620361328125,0.0,330.35888671875,670.895751953125,568.4234008789062,248.2891845703125,283.93890380859375,321.5816650390625,335.5636291503906,300.28125,331.4889831542969,320.9825134277344,436.229248046875
S005,210.37881469726562,316.6746826171875,313.630615234375,308.51068115234375,354.7595520019531,0.0,535.872314453125,386.3735656738281,248.2891845703125,189.4370880126953,321.5816650390625,274.3507080078125,253.31507873535156,321.70806884765625,499.14068603515625,436.229248046875
S006,275.1272277832031,361.0657653808594,343.98626708984375,632.5165405273438,343.9356384277344,343.9356384277344,0.0,506.5129089355469,319.04754638671875,350.46759033203125,510.1105651855469,341.0712890625,375.2806396484375,480.896728515625,320.9825134277344,465.7823791503906
S007,597.7623291015625,367.77001953125,580.47021484375,503.26019287109375,501.8207092285156,540.2982788085938,391.1376953125,0.0,420.0450439453125,587.1497192382812,496.6688537597656,367.77001953125,568.2607421875,358.60723876953125,509.8681945800781,436.229248046875
S008,323.0506286621094,349.1777038574219,314.31085205078125,717.08740234375,257.76654052734375,313.5459289550781,342.888427734375,480.8521423339844,0.0,318.2400207519531,377.755859375,274.99462890625,331.659912109375,321.70806884765625,427.1307678222656,722.8712768554688
S009,296.1680908203125,245.7126922607422,242.0653839111328,308.51068115234375,287.1365051269531,209.59786987304688,275.1272277832031,314.2220458984375,248.2891845703125,0.0,404.52703857421875,220.93392944335938,253.31507873535156,367.3228454589844,394.39739990234375,436.229248046875
S010,408.7491455078125,454.07037353515625,381.0796813964844,413.4571533203125,394.8845520019531,423.80474853515625,440.0442199707031,411.88427734375,413.8662414550781,394.8845520019531,0.0,421.2064208984375,436.8346862792969,381.0796813964844,427.9442443847656,441.85394287109375
S011,207.65652465820312,218.1654510498047,311.78533935546875,308.51068115234375,233.7969207763672,229.92442321777344,505.8800964355469,314.2220458984375,282.18890380859375,274.65771484375,321.5816650390625,0.0,297.5489196777344,321.70806884765625,320.9825134277344,436.229248046875
S012,390.98822021484375,385.2455749511719,359.47528076171875,362.7586975097656,377.4200439453125,277.55780029296875,382.77191162109375,394.47064208984375,416.96453857421875,258.44781494140625,321.5816650390625,393.1043395996094,0.0,372.0584411621094,320.9825134277344,436.229248046875
S013,372.7035217285156,321.70806884765625,324.4444580078125,344.0522766113281,321.70806884765625,322.97015380859375,392.7649841308594,327.6782531738281,321.70806884765625,321.70806884765625,367.54681396484375,321.70806884765625,378.296630859375,0.0,428.78741455078125,436.229248046875
S014,369.52947998046875,508.7425231933594,568.5668334960938,441.46917724609375,550.0504150390625,532.1881103515625,356.52581787109375,437.9000244140625,552.8875122070312,552.1436157226562,557.7218017578125,466.09344482421875,341.270263671875,563.4961547851562,0.0,483.26031494140625
S015,535.643798828125,452.43408203125,723.9313354492188,543.108642578125,655.6468505859375,665.5194091796875,462.42559814453125,436.229248046875,634.592041015625,660.640625,534.3829345703125,472.273193359375,657.286865234375,458.4856872558594,462.3328857421875,0.0
